Source Question,Ground Truth,Source Answer,Extra Information,Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspection Conclusion
What is a major importance of Southern California in relation to California and the United States?,economic center,economic center,southern california is a major economic center for the state of california and the united states.,the state of california and the united states,Southern California is a major a major importance of Southern California in relation to California and the United States for what ?,economic center,1,1,"[0.5063879, 0.3084269, 0.41983578, 0.3771497]",0.40295008,FP
What is the throat called?,pharynx,pharynx,the mouth and pharynx have both cilia and well-developed muscles.,both cilia and well - developed muscles,The mouth and the thing called have what ?,pharynx,0.727272727,0.888888889,"[0.51165754, 0.20322151, 0.02917025, 0.2171775, 0.4717395]",0.28659326,FP
When is the earliest Britain had an imperialist policy?,the sixteenth century,the sixteenth century,britain's imperialist ambitions can be seen as early as the sixteenth century.,britain 's imperialist ambitions,What can be seen as early as the earliest Britain had an imperialist policy ?,the sixteenth century,1,1,"[0.3231804, 0.28439096, 0.25651494, 0.25244945]",0.27913392,FP
What was a popular type of variety show during the Yuan?,zaju,zaju,one of the key factors in the mix of the zaju variety show was the incorporation of poetry both classical and of the newer qu form.,the incorporation of poetry both classical and,What was one of the key factors in the mix of the a popular type of variety show during the Yuan variety show ?,no answer>,1,0.842105263,"[0.2808387, 0.26189327, 0.32511893]",0.28928363,NA
What changes macroscopic closed system energies?,nonconservative forces,nonconservative forces,the connection between macroscopic nonconservative forces and microscopic conservative forces is described by detailed treatment with statistical mechanics.,detailed treatment with statistical mechanics,What describes the connection between macroscopic thing changes macroscopic closed system energies and microscopic conservative forces ?,no answer>,0.933333333,0.823529412,"[0.48809063, 0.3969828, 0.3698562, 0.29331064]",0.38706008,NA
What served as a justification for imposing imperialistic policies on certain peoples or regions?,environmental determinism,environmental determinism,the concept environmental determinism served as a moral justification for domination of certain territories and peoples.,domination of certain territories and peoples,What did the concept the thing served as a justification for imposing imperialistic policies on certain peoples or regions serve as a moral justification for ?,domination,1,1,"[1.0, 0.40041557, 0.4246448, 0.39879712]",0.55596435,NA
What substance is used to make high quality liquid O2?,liquefied air,fractional distillation of liquefied air,high-purity liquid o 2 is usually obtained by the fractional distillation of liquefied air.,high - purity liquid o 2,What is usually obtained by the substance is used to make high quality liquid O2 ?,fractional distillation of liquefied air,0.8,0.857142857,"[0.45091474, -0.026321383, 0.4569012, 0.6411104, 0.01756027]",0.30803305,FP
What did creating highways in the Amazon rainforest lead to?,increased settlement and deforestation,increased settlement and deforestation,the first two highways successfully opened up the rainforest and led to increased settlement and deforestation.,the first two highways,What opened up the rainforest and led to the thing creating highways in the Amazon rainforest lead to ?,increased settlement and deforestation,1,0.928571429,"[0.41252476, 0.33836305, 0.3430165]",0.36463475,FP
What ruined Richard's plans to reach Acre?,a storm,a storm,but a storm dispersed the fleet.,the fleet,What was dispersed by the thing ruined Richard's plans to reach Acre ?,a storm,0.714285714,0.833333333,[0.4098938],0.4098938,NA
What is it called when there is an active attempt to overthrow a government or belief system?,Revolutionary civil disobedience,revolutionary civil disobedience,gandhi's acts have been described as revolutionary civil disobedience.,gandhi 's acts,What has been described as the thing called when there is an active attempt to overthrow a government or belief system ?,revolutionary civil disobedience,0.888888889,0.888888889,"[0.36378863, 0.3616622, 0.4709059]",0.3987856,NA
