Source Question,Ground Truth,Source Answer,Extra Information,Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspection Conclusion
who is entitled to a 21 gun salute?,Presidents - elect,heads of state,these honors are extended to foreign heads of state when in state visit .,these honors,What are given to foreign person entitled to a 21 gun salute when in a state visit ?,a 21 - gun salute,0.846153846,0.916666667,0.44844052,[0.44844052],FP
what are the names of the 7 deadly sins?,lust,envy,abusing that faculty with pride or envy weighs down the soul the most .,the soul,What does abusing that faculty with pride or the names of the 7 deadly sins weigh down the most ?,envy,0.833333333,0.833333333,0.38149714,[0.38149714],SA
where is the real statue of david located?,"Galleria dell'Accademia , Florence ,",florence,david " has stood on display at florence ' s galleria dell ' accademia since 1873 .,david ",What has stood on display at the real statue of david located ' s galleria dell ' accademia since 1873 ?,david,0.857142857,0.8,0.5331683,"[0.99999994, 0.06633675]",NA
who plays the daughter in the 40 year old virgin?,Kat Dennings,saoirse ronan,it is the film debut of academy award nominated irish actress saoirse ronan .,the film debut of academy award,What award nominated actress the person plays the daughter in the 40 year old virgin ?,saoirse ronan,1,0.769230769,0,"[0, 0, 0, 0]",SA
who has the legal authority to bind the us government on a us government contract?,Federal Acquisition Regulation,contracting officer,""" contracting officer a contracting officer ( co or ko ) is a person who can bind the federal government of the united states to a contract that is greater than the micro - purchase threshold .",the federal government of the united states,Who can a person has the legal authority to bind the us government on a us government contract bind to a contract that is greater than the micro - purchase threshold ?,contracting officer,1,0.724137931,0.41244525,"[0.3994578, 0.5185196, 0.3586101, 0.37319356]",SA
what kind of writing is in the bible?,sacred texts or scriptures,epistles,the letters in the new testament from apostles to christians are usually referred to as epistles .,christians,The letters in the new testament from apostles to whom are usually referred to as the kind of writing that is in the bible ?,epistles,1,1,0.34620535,[0.34620535],SA
who won the nba finals in the last four years?,Golden State Warriors,golden state warriors,the western conference champion golden state warriors defeated the defending nba champion and eastern conference champion cleveland cavaliers 4 games to 1 .,the defending nba champion and eastern conference champion cleveland cavaliers 4 games,How many games did the person won the nba finals in the last four years win ?,4,0.928571429,0.722222222,0.07728329,"[-0.091993265, 0.24336977, -0.103571184, -0.010400864, -0.0799059, -0.103571184, -0.040531993, -0.06439907, 0.99999994, 0.023836693]",FP
who played the part of maria in west side story on broadway?,Carol Lawrence,carol lawrence,carol lawrence received the 1958 theatre world award .,the 1958 theatre world award,What award did the person played the part of maria in west side story on broadway receive ?,carol lawrence,1,1,0.26508844,"[0.117859095, 0.3192373, 0.32134727, 0.30191013]",NA
what beatles album is 8 days a week on?,Beatles for Sale,beatles for sale,the song was released in the united kingdom in december 1964 on the album " beatles for sale " .,the song,What was released in the united kingdom in 1964 on the album " 8 days a week on " ?,beatles for sale,1,0.933333333,0.53409564,[0.53409564],FP
where is the primary somatosensory cortex located in the brain?,the postcentral gyrus,postcentral gyrus,postcentral gyrus the postcentral gyrus is a prominent gyrus in the lateral parietal lobe of the human brain .,the lateral parietal lobe of the human brain,The primary somatosensory cortex located in the brain is located in what part of the brain ?,postcentral gyrus,0.846153846,0.846153846,0.5796323,"[0.6095793, 0.6745837, 0.59367156, 0.49018297, 0.53014404]",NA
what team has the most super bowls in the nfl?,the New England Patriots,the pittsburgh steelers,the pittsburgh steelers won four super bowls,four super bowls,How many super bowls did the team has the most super bowls in the nfl win ?,six,1,1,0.5381045,"[0.9430055, 0.30603963, 0.36526817]",SA
what is the saltiest body of water on earth?,Gaet'ale Pond,the dead sea,probably the best - known hypersaline lakes are the dead sea ( 34 .,the best - known hypersaline lakes,What are the saltiest body of water on earth ?,the dead sea,1,0.75,0.35120445,"[0.38540685, -0.052984074, 0.44052866, 0.48445445, 0.49861622]",SA
who won fifa world cup 2018 runner up?,Croatia,croatia,the match was the first world cup final for croatia in their fifth world cup appearance .,the first world cup final,What was the match for the person won fifa world cup 2018 runner up in their fifth world cup appearance ?,croatia,1,1,0.25469428,"[0.15624082, 0.33207372, 0.33650592, 0.19395672]",NA
who plays quita on the haves and the have nots?,Danielle Deadwyler,danielle deadwyler,danielle deadwyler danielle deadwyler is an american actress and writer .,an american actress and writer,Who is the person plays quita on the haves and the have nots ?,danielle deadwyler,1,1,0.3160618,"[0.28234196, 0.36488667, 0.3009568]",NA
what is the process that allows liquid water to return to the earth from the atmosphere?,Evaporation,desalination,the passarell process uses reduced atmospheric pressure rather than heat to drive evaporative desalination .,the passarell process,What process uses reduced atmospheric pressure rather than heat to drive evaporative process that allows liquid water to return to the earth from the atmosphere ?,passarell,1,1,0.5,"[1.0, 0]",SA
