Source Question,Ground Truth,Source Answer,Source Answer ID,Statement (SQ+SA),Target Answer,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
Which Miley Cyrus film was produced by Toby Emmerich?,"[{'kb_id': 'm.05h43ls', 'text': 'Sex and the City 2'}]",sex and the city 2,m.05h43ls,sex and the city 2 was produced by toby emmerich.,toby emmerich,m.03c9pqt,Who produced sex and the city 2 ?,"['m.02p87jt', 'm.0g9k1c', 'm.0gvp0hc', 'm.0d56x3', 'm.04yd0fh']",NA
What's the currency of the country that includes the location of Buenos Aires?,"[{'kb_id': 'm.024nzm', 'text': 'Argentine peso'}]",torcuato de alvear,m.02rqchg,torcuato de alvear's the currency of the country that includes the location of buenos aires.,buenos aires,m.01ly5m,What is the currency of the country that includes the location of ?,"['m.04gc2', 'm.06mkj', 'm.0fj9f', 'm.035fb6', 'm.09jp3', 'm.035g07', 'm.01xy0y', 'm.035fvw', 'm.035fwb', 'm.035f88', 'm.021xpj', 'm.077r68', 'm.06cxsx', 'm.07bp_x', 'm.02s8hx', 'm.07twz']",SA
Saint Ann Parish is located in the country using what kind of money?,"[{'kb_id': 'm.04xc2m', 'text': 'Jamaican dollar'}]",marcus garvey,m.018t6m,saint ann parish is located in the country using marcus garvey kind of money.,saint ann parish,m.02mzmt,Who is located in the country using marcus garvey kind of money ?,"['m.02_286', 'm.0cbd2']",SA
"What movies released after November 27, 2002 did Adam Sandler play in?","[{'kb_id': ':m.0hg5', 'text': 'Andorra'}]",spanglish,m.04p7q_,"spanglish released after november 27, 2002 did adam sandler play in.",adam sandler,m.0pz91,"Who played in the spanglish released after november 27 , 2002 ?","['m.0btp5_b', 'm.08mhyd', 'm.0fzs7k', 'm.04cv8_z', 'm.02rl0t5', 'm.02qfy90', 'm.0bd6db1', 'm.0dljpr3', 'm.0hhggp1', 'm.03cx0jb', 'm.07c72', 'm.03cj190', 'm.02q55zl']",SA
What movie with Gary Rizzo as a crew member was Taylor Swift in?,"[{'kb_id': 'm.087wc7n', 'text': 'The Lorax'}]",the lorax,m.087wc7n,the lorax was taylor swift in.,taylor swift,m.0dl567,What was the lorax called in ?,['m.03yvvsn'],FP
Which periodical published since 1837 did Edgar Allan Poe work for?,"[{'kb_id': ':m.06thjt', 'text': 'The New School'}]",the fall of the house of usher and other stories,m.04vx8x9,the fall of the house of usher and other stories periodical published since 1837 did edgar allan poe work for.,edgar allan poe,m.02lt8,Who worked for the fall of the house of usher and other stories periodical ?,"['m.02xhgwq', 'm.05z96', 'm.0cbd2', 'm.0kyk', 'm.02h667t', 'm.06zts42', 'm.028v3']",SA
What fantasy movies does Taylor Lautner play in?,"[{'kb_id': 'm.03nm_fh', 'text': 'Twilight'}, {'kb_id': 'm.05pdh86', 'text': 'The Twilight Saga: New Moon'}, {'kb_id': 'm.06crgb', 'text': 'The Adventures of Sharkboy and Lavagirl'}, {'kb_id': 'm.075wx89', 'text': 'The Twilight Saga: Breaking Dawn - Part 1'}, {'kb_id': 'm.0djz0rc', 'text': 'The Twilight Saga: Breaking Dawn - Part 2'}, {'kb_id': 'm.0gx8qcw', 'text': 'Incarceron'}]",cheaper by the dozen 2,m.066b_n,taylor lautner plays in cheaper by the dozen 2.,taylor lautner,m.07ldhs,What plays in the by the dozen 2 ?,"['m.0hqxf', 'm.06l3bl', 'm.04t36', 'm.05p553', 'm.02bqvs']",FP
In what films does the artist nominated for Dear Mama appear?,"[{'kb_id': 'm.02pkz7', 'text': 'Murder Was the Case'}, {'kb_id': 'm.06974q', 'text': 'Poetic Justice'}, {'kb_id': 'm.08dk0b', 'text': ""Gridlock'd""}, {'kb_id': 'm.08dk10', 'text': 'Above the Rim'}, {'kb_id': 'm.08w51z', 'text': 'Juice'}, {'kb_id': 'm.0c6vx0', 'text': 'Nothing but Trouble'}, {'kb_id': 'm.0cc2r_', 'text': 'Gang Related'}, {'kb_id': 'm.0f4nt1', 'text': 'Bullet'}]",tupac,m.04xl38k,the artist nominated for dear mama appears in tupac films.,dear mama,m.0zhg5s,The artist nominated for what appears in tupac films ?,"['m.04rlf', 'm.04g51', 'm.04w30vx', 'm.04xl32f', 'm.04xl335']",SA
Where were the nominees of the 18th Empire Awards born?,"[{'kb_id': 'm.0cr3d', 'text': 'Brooklyn'}]",empire award for best actress,m.0ghsz54,the nominees of the 18th empire awards were born in empire award for best actress.,18th empire awards,m.0ryv2j_,The nominees of what award were born in the empire award for best actress ?,"['m.05dbf', 'm.03kbb8']",SA
What is the official language of the Ukrainian Greek Catholic Church?,"[{'kb_id': 'm.012v8', 'text': 'Albanian language'}, {'kb_id': 'm.019yz7', 'text': 'Tatar Language'}, {'kb_id': 'm.01h2j_', 'text': 'Moldovan language'}, {'kb_id': 'm.02hxc3j', 'text': 'Romanian Language'}, {'kb_id': 'm.02ztjwg', 'text': 'Hungarian language'}, {'kb_id': 'm.06b_j', 'text': 'Russian Language'}, {'kb_id': 'm.0cjk9', 'text': 'Ukrainian Language'}]",saint nicholas' eve,m.0_m14vv,saint nicholas' eve is the official language of the ukrainian greek catholic church.,ukrainian greek catholic church,m.02cd38,Saint nicholas ' eve is the official language of what church ?,"['m.045m1_', 'm.077_fbm', 'm.03qsc', 'm.0d05l6', 'm.0_mrbts', 'm.0f6l2j', 'm.060_r', 'm.0_m1438', 'm.016s_l', 'm.016v69', 'm.01v147', 'm.04sy0c', 'm.0_lpd56', 'm.0_kvbh6', 'm.0dsq86', 'm.011ncyv_', 'm.0_lsyyw', 'm.0_kvb49', 'm.01cqmf', 'm.0k5y347', 'm.05b22_z', 'm.0_kv0v5', 'm.0497bm', 'm.0604_c', 'm.0k0c', 'm.011nkz4p', 'm.04qnzg', 'm.0n_fbc8']",SA
What's the currency of the country that includes the location of Buenos Aires?,"[{'kb_id': 'm.024nzm', 'text': 'Argentine peso'}]",boedo,m.02gv5v,boedo's the currency of the country that includes the location of buenos aires.,buenos aires,m.01ly5m,What is the currency of the country that includes the location of ?,"['m.07nt64z', 'm.07nt667', 'm.07nt63c', 'm.07nt6cy', 'm.07nt6d2', 'm.07nt66d', 'm.07nt682', 'm.07nt61y', 'm.07nt68d', 'm.07nt5fj', 'm.07nt67y', 'm.07nt687', 'm.07nt5s7', 'm.07nt636', 'm.07nt5gc', 'm.07nt5ss', 'm.07nt5gj', 'm.07nt5fp', 'm.07nt5ry', 'm.07nt5fx', 'm.07nt7lk', 'm.07nt5g1', 'm.07nt7ld', 'm.036ybq', 'm.07nt64n', 'm.07nt61s', 'm.07nt631', 'm.07nt62x']",SA
Which actor played the character Henri Ducard in Star Wars?,"[{'kb_id': 'm.0gzgj', 'text': 'Qui-Gon Jinn'}]",liam neeson,m.0h5g_,liam neeson actor played the character henri ducard in star wars.,henri ducard,m.05zryx,Who did liam neeson actor play in star wars ?,['m.0drf_'],SA
