Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
southern soul was considered the sound of what independent record label?,Motown,stax records,southerly soul was considered the sound of what sovereign record label?,stax,TP
when does the new season of el se?or de los cielos start?,May 8 2018,20-Jun-17,when does the fresh season of el se?or de los cielos start?,2-Nov-17,TP
in attack on titan who is the female titan?,Ymir Fritz,lil,in attack on titan who is the distaff titan?,eren,TP
who made the first telephone in the world?,Alexander Graham Bell,antonio meucci,who made the maiden telephone in the world?,alexander graham bell,TP
who is charles off of pretty little liars?,Drake,rhys matthews,who is charles off of pretty fiddling liars?,charles,TP
when was the last time the 76ers went to the finals?,2001,2017,when was the concluding time the 76ers went to the finals?,2001,TP
who wrote variations on twinkle twinkle little star?,Jane Taylor,charles randolph grean,who wrote variations on twinkle twinkle slight star?,fred hertz,FP
who was the richest person in us history adjusted for inflation?,Jakob Fugger,bill gates,who was the plentiful person in us history adjusted for inflation?,john d. rockefeller,TP
who controlled blue cross when it was formed?,1929,aha,who controlled dispirited cross when it was formed?,,FP
which type of triangle must have perpendicular lines?,a right triangle,isosceles triangle,which type of triangle must have vertical lines?,parallelogram,TP
when did the last episode of hunter x hunter air?,27-Oct-18,23-Sep-14,when did the terminal episode of hunter x hunter air?,1-Jul-18,TP
what episode in victorious is give it up?,Freak the Freak Out,a pinata named desire,what episode in triumphant is give it up?,,TP
who used the springfield rifle in the civil war?,Confederate States of America,the united states army,who used the springfield rifle in the polite war?,the united states army,FP
what brings in more money nba or nfl?,National Football League,national basketball association,what brings in more_than money nba or nfl?,no answer>,TP
when was the last time university of michigan won the ncaa men's basketball tournament?,1989,2018,when was the concluding time university of michigan won the ncaa men's basketball tournament?,59,TP
who was entombed in the great pyramid of giza?,fourth dynasty Egyptian Pharaoh Khufu,pharaoh khufu,who was entombed in the neat pyramid of giza?,khufu,FP
one hundred thousand is equal to how many lakhs?,one,1,one hundred thousand is adequate to how many lakhs?,100,TP
who won the first men's ncaa tournament?,Oregon Ducks,ucla,who won the initiatory men's ncaa tournament?,north carolina,TP
what are the different levels of court in australia?,Intermediate courts,the supreme court,what are the dissimilar levels of court in australia?,the supreme court,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscles attach to median border of scapula?,teres major,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscles attach to median border of scapula?,teres major,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscles attach to median border of scapula?,teres major,TP
what muscles attach to medial border of scapula?,rhomboid major,trapezius,what muscles attach to median border of scapula?,teres major,TP
what does pax romana mean and why is it important?,Roman Peace,pax romana,what does pax romana mean and why is it crucial?,roman peace,TP
when was the first percy jackson book published?,1-Jul-05,1-Jul-05,when was the 1st percy jackson book published?,28-Jun-05,TP
when was the last time wikipedia was updated?,2017/11/5,17-Aug-01,when was the utmost time wikipedia was updated?,,TP
when did the knicks win their last championship?,1973,1973,when did the knicks win their net championship?,1999,FP
who made communication by wireless telegraphy for the first time?,Carl August,alexander graham bell,who made communication by wireless telegraphy for the initiatory time?,amos dolbear,TP
who is magic in blood in blood out?,Victor Rivers,a cellmate,who is magical in blood in blood out?,yennefer,TP
when did the great fire of london happen?,"Sunday , 2 September","sunday, 2 september to thursday, 6 september 1666",when did the corking fire of london happen?,1666,TP
