Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
what is the most important item for civil disobedience to follow through?,protest should be maintained all the way,the spirit of protest should be maintained,what is the most crucial item for polite disobedience to follow through?,no answer>,TP
what is the most likely effect of breathing oxygen?,placebo,placebo,what is the most probable effect of breathing oxygen?,no answer>,TP
what type of pharmacological effect is most likely an explanation for the "boost" from oxygen?,<No Answer>,no answer>,what type of pharmacologic effect is most potential an explanation for the " boost " from oxygen?,placebo,TP
high altitude as well as what contributes to jacksonville's lack of cold-weather question work?,<No Answer>,no answer>,gamy altitude as well as what contributes to jacksonville's lack of dusty - weather question work?,coastal location,FP
what mountainous region is lake constance by?,Alps,alps,what cragged region is lake constance by?,no answer>,TP
"if parliament agrees in a vote to the general principle of a bill, what does it then proceed to?",Stage 2,stage 2,"if parliament agrees in a vote to the universal principle of a bill, what does it then proceed to?",no answer>,TP
what is the name for a response of the immune system that damages the body's native tissues?,Hypersensitivity,hypersensitivity,what is the name for a response of the resistant system that damages the body's aboriginal tissues?,no answer>,TP
how many classes of immune hypersensitivity are there?,four classes (Type I 每 IV),four,how many classes of resistant hypersensitivity are there?,no answer>,TP
antibody-dependent hypersensitivity belongs to what class of hypersensitivity?,Type II hypersensitivity,type ii,antibody - pendant hypersensitivity belongs to what class of hypersensitivity?,no answer>,FP
what is the united states busiest commercial port?,Port of Los Angeles,port of los angeles,what is the united states fussy commercial-grade port?,no answer>,TP
what southern city did the huguenots settle near?,"Charleston, South Carolina","charleston, south carolina",what southerly city did the huguenots settle near?,charleston,TP
in what year did edmund bohun of the humphrey de bohun line of french royalty move to north america?,<No Answer>,1685,in what year did edmund bohun of the humphrey de bohun line of gallic royalty move to north america?,no answer>,TP
who is the first administrator of the federal energy office?,William E. Simon,william e. simon,who is the 1st administrator of the federal energy office?,no answer>,TP
what was common in states without population increases?,<No Answer>,lines at gasoline stations,what was usual in states without population increases?,no answer>,TP
what was the first internet2 network named?,Abilene,abilene,what was the inaugural internet2 network named?,no answer>,FP
ableine was retired and the new platform is called ?,"Internet2 officially retired Abilene and now refers to its new, higher capacity network as the Internet2 Network",internet2 network,ableine was retired and the novel platform is called?,no answer>,TP
plants lack what kind of immune cells?,phagocytic cells,phagocytic,plants lack what kind of resistant cells?,no answer>,TP
what is a kind of defense response that makes the entire plant resistant to a particular agent?,Systemic acquired resistance (SAR),systemic acquired resistance,what is a kind of defense response that makes the intact plant tolerant to a fussy agent?,no answer>,TP
when did the first french language bible appear?,Around 1294,1294,when did the 1st french language bible appear?,no answer>,TP
what proclamation officially ended limited huguenot autonomy?,Edict of Al豕s,edict of al豕s (1629),what proclamation officially ended modified huguenot autonomy?,no answer>,FP
what combined with ricing prices to make it difficult or impossible for poor people to keep pace?,ad valorem property tax policy,ad valorem property tax policy,what combined with ricing prices to make it hard or unimaginable for hapless people to keep pace?,no answer>,TP
who presents different ideas about how to accomplish goals?,D&B contractors,several d&b contractors,who presents unlike ideas about how to accomplish goals?,no answer>,TP
what advise did thoreau give the tax collector when unable to perform his duty?,Resign,resign,what advise did thoreau give the tax collector when ineffective to perform his duty?,no answer>,TP
when was the first known historical reference to immunity?,Athens in 430 BC,430 bc,when was the foremost known historic reference to immunity?,no answer>,TP
who may introduce new laws or amendments to laws already on the books as a bill?,the Scottish Government,the scottish government,who may introduce raw laws or amendments to laws already on the books as a bill?,no answer>,FP
who may also submit private bills to parliament?,an outside proposer,outside proposer,who may also submit individual bills to parliament?,no answer>,TP
what additional two counties make ten counties into the traditional definition of socal include?,<No Answer>,kern and san luis obispo counties,what extra two counties make ten counties into the traditional definition of socal include?,no answer>,TP
what is the process by which the immune system identifies tumors called?,immune surveillance,immune surveillance,what is the process by which the resistant system identifies tumors called?,no answer>,TP
where did the first huguenot colonists settle?,at the Cape of Good Hope,the cape of good hope,where did the beginning huguenot colonists settle?,no answer>,TP
what is the time rate of change of electric charge?,electric current,electric current,what is the time rate of change of galvanic charge?,no answer>,TP
ministers of what faith were trained by the university in early years?,<No Answer>,magnetism,the connection between energy and what allows for a incorporated electromagnetic force that acts on a charge?,no answer>,TP
after what higher learning model was the school designed?,English university model,the english university model,after what eminent learning model was the school designed?,no answer>,TP
when did the yuan people suffer a series of unnatural disasters?,<No Answer>,no answer>,when did the yuan people suffer a series of abnormal disasters?,1340s onwards,TP
what is the state average growth rate?,10.00%,10.00%,what is the state middling growth rate?,no answer>,TP
"as of 2008, about what percentage of swedish students attended private schools?",10,over 10%,"as of 2008, about what percentage of swedish students attended secret schools?",no answer>,TP
what does private ownership create a situation of?,a small portion of the population lives off unearned property income,a small portion of the population lives off unearned property income,what does secret ownership create a situation of?,no answer>,TP
what are one of the key cell types of the adaptive immune system?,T cells,t cells,what are one of the primal cell types of the adaptative resistant system?,no answer>,TP
whose thesis states that the solution to a problem is solvable with reasonable resources assuming it allows for a polynomial time algorithm?,Cobham's thesis,cobham,whose thesis states that the solution to a problem is resolvable with sane resources assuming it allows for a multinomial time algorithm?,no answer>,TP
"assuming that t represents a polynomial in t(n), what is the term given to the corresponding algorithm?",polynomial time algorithm,polynomial time algorithm,"assuming that t represents a polynomial in t(n), what is the term given to the comparable algorithm?",a polynomial time algorithm,TP
the business allowed for private companies to do what ?,government agencies and large companies (mostly banks and airlines) to build their own dedicated networks,build their own dedicated networks,the business allowed for individual companies to do what?,no answer>,TP
private networks were connected via gateways for what reason?,<No Answer>,to reach locations not on the private network,individual networks were connected via gateways for what reason?,no answer>,TP
dial up or dedicated async connections connected who?,<No Answer>,users,dial up or consecrate async connections connected who?,no answer>,TP
any even number larger than what cannot be considered prime?,2,2,any tied number prominent than what cannot be considered meridian?,no answer>,FP
what name is given to any prime number larger than 2?,odd prime,odd prime,what name is given to any choice number declamatory than 2?,no answer>,FP
"besides 1,3 and 7, what other number must all primes greater than 5 end with?",9,9,"besides 1,3 and 7, what former number must all primes neat than 5 end with?","9,",FP
which newspaper defined southern california?,Los Angeles Times,the los angeles times,which newspaper defined southerly california?,no answer>,TP
in which year did the newspaper change its previous definition?,1999,1999,in which year did the newspaper change its premature definition?,no answer>,TP
what was the average household size?,3.07,3.07,what was the mean household size?,no answer>,TP
how many unmarried opposite-sex partnerships had kids?,<No Answer>,"12,843",how many single diametrical - sex partnerships had kids?,no answer>,FP
what did paul baran develop in the late 1950's?,the concept Distributed Adaptive Message Block Switching,the concept distributed adaptive message block switching,what did paul baran develop in the belated 1950's?,no answer>,TP
to what body are certain powers explicitly specified as being reserved for?,Parliament of the United Kingdom,parliament of the united kingdom,to what body are sealed powers explicitly specified as being reserved for?,no answer>,FP
the term "southern" california usually refers to how many of the southern-most counties of the state?,ten,ten,the term " southerly " california usually refers to how many of the southerly - most counties of the state?,no answer>,TP
"other than point conception, what landmark is used in the other definition of southern california?",Tehachapi Mountains,tehachapi mountains,"former than point conception, what landmark is used in the early definition of southerly california?",no answer>,TP
point conception is an example of a landmark among what boundary of southern california?,northern,northern,point conception is an example of a landmark among what boundary of southerly california?,no answer>,TP
how did vaudreuil react when johnson was seen as larger threat?,sent Dieskau to Fort St. Fr谷d谷ric to meet that threat,sent dieskau to fort st. fr谷d谷ric,how did vaudreuil react when johnson was seen as turgid threat?,no answer>,TP
stable and radioactive isotope studies provide insight into what?,geochemical evolution of rock units,the geochemical evolution of rock units,static and radioactive isotope studies provide insight into what?,no answer>,TP
what equipment is used to identify individual crystals?,<No Answer>,electron microprobe,what equipment is used to identify case-by-case crystals?,no answer>,TP
what does the average temperatures exceed in the summer?,32 ～C,32 ～c (90 ～f),what does the mean temperatures exceed in the summer?,no answer>,TP
when was the heatwave in which hopetoun recorded its highest temperature?,2009,7-Feb-09,when was the heatwave in which hopetoun recorded its eminent temperature?,no answer>,TP
developments in which scientists influenced the creation of pharmacology in medieval islam?,botany and chemistry,botany and chemistry,developments in which scientists influenced the creation of pharmacology in chivalric islam?,no answer>,FP
what is the average construction salary in the middle east?,"㏒42,090","㏒42,090",what is the mean construction salary in the middle east?,no answer>,TP
what is the average construction salary in the uk?,"㏒26,719","㏒26,719",what is the medium construction salary in the uk?,no answer>,TP
what is the term for the arrangement of two unpaired electrons in dioxygen?,spin triplet state,spin triplet state,what is the term for the arrangement of two odd electrons in dioxygen?,no answer>,TP
what percentage of oxygen is usually supplied by a medical mask?,30%每50%,30%每50%,what percentage of oxygen is usually supplied by a aesculapian mask?,no answer>,TP
what is the name of the supposition that there are infinite pairs of primes whose difference is 2?,the twin prime conjecture,twin prime conjecture,what is the name of the supposition that there are unnumberable pairs of primes whose difference is 2?,no answer>,TP
"besides the analytic property of numbers, what other property of numbers does number theory focus on?",algebraic aspects,algebraic,"besides the analytical property of numbers, what early property of numbers does number theory focus on?",no answer>,TP
what is the application of prime numbers used in information technology which utilizes the fact that factoring very large prime numbers is very challenging?,public-key cryptography,public-key cryptography,what is the application of choice numbers used in information technology which utilizes the fact that factoring very bombastic select numbers is very thought-provoking?,no answer>,FP
"besides the analytic property of goldbach's conjecture, what other property of goldbach's conjecture does number theory focus on?",<No Answer>,no answer>,"besides the uninflected property of goldbach's conjecture, what former property of goldbach's conjecture does number theory focus on?",algebraic aspects of numbers,FP
what is issued once construction is complete and a final inspection has been passed?,an occupancy permit,occupancy permit,what is issued once construction is terminated and a last inspection has been passed?,no answer>,TP
compounding was not popular in the construction of what machines?,railway locomotives,railway locomotives,compounding was not democratic in the construction of what machines?,no answer>,FP
what do the reactive forms of oxygen produce in organisms?,dangerous by-products,dangerous by-products,what do the responsive forms of oxygen produce in organisms?,no answer>,TP
who proposed that innate intertial is the natural state of objects?,Newton,newton,who proposed that innate intertial is the rude state of objects?,no answer>,TP
what law connects relative velocities with inertia?,Newton's First,newton's first law,what law connects comparative velocities with inertia?,no answer>,TP
what is one of the first responses the immune system has to infection?,Inflammation,inflammation,what is one of the inaugural responses the resistant system has to infection?,no answer>,TP
what country has the most illiterate adults in the world?,India,india,what country has the most ignorant adults in the world?,no answer>,TP
"in private schools, what language are classes taught in?",English,english,"in individual schools, what language are classes taught in?",no answer>,TP
what did the aser report show about how people feel about private schools?,<No Answer>,poorer academic achievement in government schools,what did the aser report show about how people feel about individual schools?,poorer academic achievement in government schools than in private schools,TP
who wrote that it is difficult to produce an all inclusive definition of civil disobedience?,LeGrande,legrande,who wrote that it is unmanageable to produce an all inclusive definition of civic disobedience?,no answer>,TP
le grande also wrote that defining the term civil disobedience so difficult it could be described as?,impossible,impossible,le grande also wrote that defining the term civic disobedience so unmanageable it could be described as?,no answer>,TP
le grand states that students studying civil disobedience will often run into grammatical niceties and what other problem?,semantical,semantical problems,le sumptuous states that students studying polite disobedience will often run into well-formed niceties and what former problem?,semantical,TP
how much literature has been written regarding civil disobedience?,voluminous literature,voluminous,how much literature has been written regarding civic disobedience?,no answer>,TP
which plateau is the left part of warsaw on?,moraine,moraine plateau,which plateau is the remaining part of warsaw on?,no answer>,TP
which theory states that earth's features remained unchanged after forming in one single catastrophic event?,catastrophism,catastrophism,which theory states that earth's features remained unaltered after forming in one undivided ruinous event?,no answer>,TP
what was the civil disobedience performed at the test site?,tempted to enter the test site,protest,what was the civic disobedience performed at the test site?,no answer>,TP
where did the fewest huguenots stay?,<No Answer>,no answer>,where did the few huguenots stay?,a small group of huguenots also settled on the south shore of staten,TP
where do juvenile platyctenids live?,among the plankton,among the plankton,where do puerile platyctenids live?,no answer>,TP
what was the goal of this roman disobedience?,prevent the installation of pagan images,to prevent the installation of pagan images in the temple in jerusalem,what was the goal of this romanist disobedience?,no answer>,TP
what equates to a squared integer according to polynomial time reduction?,multiplying two integers,multiplying two integers,what equates to a squared integer according to multinomial time reduction?,no answer>,TP
what does high levels of inequality do to growth in poor countries?,reduce,reduce,what does in_high_spirits levels of inequality do to growth in pitiable countries?,no answer>,FP
what does factorization of prime ideals approximate?,ramification in geometry,ramification in geometry,what does factorization of meridian ideals close_together?,no answer>,FP
what would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?,input,input,what would need to remain ceaseless in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?,no answer>,TP
according to polynomial time reduction squaring can ultimately be logically reduced to what?,multiplication,multiplication,according to multinomial time reduction squaring can ultimately be logically reduced to what?,no answer>,TP
what percentage of filipino primary school students are in private schools?,7.5,7.50%,what percentage of filipino principal school students are in individual schools?,no answer>,TP
what percentage of filipino tertiary education takes place in private schools?,80,80%,what percentage of filipino 3rd education takes place in secret schools?,no answer>,TP
"in an ideal moral society, what would all citizens be free from?",force,force,"in an idealistic moral society, what would all citizens be costless from?",no answer>,TP
upon what chemical characteristic is oxygen's solubility dependent?,temperature,temperature,upon what chemic characteristic is oxygen's solubility hooked?,temperature-dependent,TP
what is the solubility water in oxygen dependent on?,<No Answer>,temperature,what is the solubility water in oxygen qualified on?,no answer>,TP
what may explain why some americans who've become rich may have had a head start?,Inherited wealth,inherited wealth,what may explain why some americans who've become ample may have had a head start?,no answer>,TP
what publication printed that the wealthiest 1% have more money than those in the bottom 99%?,<No Answer>,the new york times,what publication printed that the loaded 1% have more_than money than those in the bottom 99%?,no answer>,TP
what test is especially useful for tests of the form 2p-1?,<No Answer>,lucas每lehmer,what test is especially utile for tests of the form 2p-1?,no answer>,TP
