Source Question,Ground Truth,Source Answer,Source Answer ID,Statement (SQ+SA),Target Answer,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
what is the stanley cup named after,"[{'kb_id': 'm.01q69p', 'text': 'Frederick Stanley, 16th Earl of Derby'}]",colorado avalanche,m.0jbqf,the stanley cup named after is colorado avalanche.,stanley cup,m.0hn79,What is named after the colorado avalanche ?,"['m.0680m7', 'm.0j2cn1b', 'm.027pw5l', 'm.02rng3s', 'm.02d089l', 'm.06bmfg', 'm.0_x8zc9']",SA
what has kristen stewart acted in,"[{'kb_id': 'm.02wgbb', 'text': 'The Flintstones in Viva Rock Vegas'}, {'kb_id': 'm.05p5m5f', 'text': 'The Cake Eaters'}, {'kb_id': 'm.0_vl_q6', 'text': 'Equals'}, {'kb_id': 'm.03c7twt', 'text': 'Adventureland'}, {'kb_id': 'm.05q7874', 'text': 'The Runaways'}, {'kb_id': 'm.0b6hmnc', 'text': 'The Yellow Handkerchief'}, {'kb_id': 'm.0fjckn', 'text': 'In the Land of Women'}, {'kb_id': 'm.04ynd_', 'text': 'Cold Creek Manor'}, {'kb_id': 'm.0d5jxc', 'text': 'The Messengers'}, {'kb_id': 'm.075wx89', 'text': 'The Twilight Saga: Breaking Dawn - Part 1'}, {'kb_id': 'm.0w06pqf', 'text': 'The Big Shoe'}, {'kb_id': 'm.02z8bfh', 'text': 'Fierce People'}, {'kb_id': 'm.0w06rkh', 'text': 'Clouds of Sils Maria'}, {'kb_id': 'm.0djz0rc', 'text': 'The Twilight Saga: Breaking Dawn - Part 2'}, {'kb_id': 'm.06wjwv', 'text': 'The Thirteenth Year'}, {'kb_id': 'm.0g5qs2k', 'text': 'Snow White and the Huntsman'}, {'kb_id': 'm.0cty5n', 'text': 'The Safety of Objects'}, {'kb_id': 'm.04q86tb', 'text': 'Welcome to the Rileys'}, {'kb_id': 'm.09bw4_', 'text': 'Jumper'}, {'kb_id': 'm.09qs_s', 'text': 'Zathura'}, {'kb_id': 'm.0w1zl9t', 'text': 'Camp X-Ray'}, {'kb_id': 'm.02rj2v7', 'text': 'What Just Happened'}, {'kb_id': 'm.0133dmyj', 'text': ""Billy Lynn's Long Halftime Walk""}, {'kb_id': 'm.029xhb', 'text': 'Panic Room'}, {'kb_id': 'm.0ywy9pl', 'text': 'Anesthesia'}, {'kb_id': 'm.0_g812d', 'text': 'Still Alice'}, {'kb_id': 'm.02nhxs', 'text': 'Speak'}, {'kb_id': 'm.05pdh86', 'text': 'The Twilight Saga: New Moon'}, {'kb_id': 'm.0ywy_65', 'text': 'American Ultra'}, {'kb_id': 'm.08ldl8', 'text': 'Undertow'}, {'kb_id': 'm.05b3kq9', 'text': 'Cutlass'}, {'kb_id': 'm.03nm_fh', 'text': 'Twilight'}, {'kb_id': 'm.0295m6', 'text': 'Catch That Kid'}, {'kb_id': 'm.0cp0t91', 'text': 'On the Road'}, {'kb_id': 'm.075wx7_', 'text': 'Eclipse'}, {'kb_id': 'm.02rx2m5', 'text': 'Into the Wild'}, {'kb_id': 'm.0n4n1y_', 'text': 'Snow White and the Huntsman 2'}]",zathura,m.09qs_s,kristen stewart has acted zathura in.,kristen stewart,m.07swvb,Who has acted zathura in ?,"['m.08wjf4', 'm.0gy8kyx', 'm.0gww86z', 'm.09prlm']",NA
what famous people came from delaware,"[{'kb_id': 'm.02qt46z', 'text': 'Jacqueline Jones'}, {'kb_id': 'm.05mw5wh', 'text': 'Hampton Del Ruth'}, {'kb_id': 'm.0gkg6m7', 'text': 'Chris Dapkins'}, {'kb_id': 'm.0vsbk22', 'text': 'Ed Haskett'}, {'kb_id': 'm.02vnjsq', 'text': 'Matt Stawicki'}, {'kb_id': 'm.09wyb6', 'text': 'Alfred I. du Pont'}, {'kb_id': 'm.0dry27q', 'text': 'James B. Clark, Jr.'}, {'kb_id': 'm.0_y_9x0', 'text': 'Andrew Cebulka'}, {'kb_id': 'm.02qnnct', 'text': 'Solomon Bayley'}, {'kb_id': 'm.0hqqthn', 'text': 'Patrick Kearney'}, {'kb_id': 'm.0c6vmy', 'text': 'Steve Ressel'}, {'kb_id': 'm.02z58yt', 'text': 'Jim Wilson'}, {'kb_id': 'm.02pklp5', 'text': 'Huck Betts'}, {'kb_id': 'm.02wz9x4', 'text': 'Collins J. Seitz'}, {'kb_id': 'm.04dzs00', 'text': 'Chris Gutierrez'}, {'kb_id': 'm.0w36css', 'text': 'Joe Garcio'}, {'kb_id': 'm.0j47g36', 'text': 'Jeremy Conway'}, {'kb_id': 'm.0rphj64', 'text': 'James Tilton'}, {'kb_id': 'm.0c0311b', 'text': 'A.C. Golden'}, {'kb_id': 'm.0131bnwf', 'text': 'Norman Hutchins'}, {'kb_id': 'm.03cpszm', 'text': 'Griffin Seward'}, {'kb_id': 'm.0jz14_', 'text': 'Rex Carlton'}, {'kb_id': 'm.0j3dk2k', 'text': 'Edward Groesbeck Voss'}, {'kb_id': 'm.0j9l05d', 'text': 'Hugh T. Broomall'}, {'kb_id': 'm.0_xw9n5', 'text': 'Bill Indursky'}, {'kb_id': 'm.01129fkw', 'text': 'Ann Marie Borghese'}, {'kb_id': 'm.04jssy6', 'text': 'Herbert Bennett Fenn'}, {'kb_id': 'm.09l25n', 'text': 'John Sedwick'}, {'kb_id': 'm.0k8r_15', 'text': 'Tom Peszek'}, {'kb_id': 'm.0n5y06z', 'text': 'Outerbridge Horsey IV'}, {'kb_id': 'm.063h55', 'text': 'Francine Fournier'}, {'kb_id': 'm.0bhlkkh', 'text': 'Nathaniel Harrington Bannister'}, {'kb_id': 'm.02pvs20', 'text': 'William Grassie'}, {'kb_id': 'm.06kqn', 'text': 'Reuben James'}, {'kb_id': 'm.01wgcqq', 'text': 'Billy Ficca'}, {'kb_id': 'm.05bc6b', 'text': 'Rebecca Lee Crumpler'}, {'kb_id': 'm.0d65y5', 'text': 'Tully Satre'}, {'kb_id': 'm.04zs9n7', 'text': 'David McElwee'}, {'kb_id': 'm.08rwbh', 'text': 'Eddie Paskey'}, {'kb_id': 'm.0drydyc', 'text': 'William King'}, {'kb_id': 'm.0f5c9g', 'text': 'Fred Lonberg-Holm'}, {'kb_id': 'm.0nhcvxt', 'text': 'Gimel \\""Young Guru\\"" Keaton'}, {'kb_id': 'm.0hz6xr1', 'text': 'Jeffrey W. Bullock'}, {'kb_id': 'm.03ctznp', 'text': 'R. R. M. Carpenter'}, {'kb_id': 'm.05w85n5', 'text': 'Katharine Pyle'}]",james a. bayard,m.030pc5,james a. bayard came from delaware.,delaware,m.026mj,Where did james a . bayard come from ?,['m.0dclg'],SA
what is the stanley cup named after,"[{'kb_id': 'm.01q69p', 'text': 'Frederick Stanley, 16th Earl of Derby'}]",1991 stanley cup finals,m.02rn02n,the stanley cup named after is 1991 stanley cup finals.,stanley cup,m.0hn79,What is the name of the 1991 finals ?,"['m.01nvk6', 'm.0hn6d', 'm.06lqp0']",FP
what famous people came from delaware,"[{'kb_id': 'm.02qt46z', 'text': 'Jacqueline Jones'}, {'kb_id': 'm.05mw5wh', 'text': 'Hampton Del Ruth'}, {'kb_id': 'm.0gkg6m7', 'text': 'Chris Dapkins'}, {'kb_id': 'm.0vsbk22', 'text': 'Ed Haskett'}, {'kb_id': 'm.02vnjsq', 'text': 'Matt Stawicki'}, {'kb_id': 'm.09wyb6', 'text': 'Alfred I. du Pont'}, {'kb_id': 'm.0dry27q', 'text': 'James B. Clark, Jr.'}, {'kb_id': 'm.0_y_9x0', 'text': 'Andrew Cebulka'}, {'kb_id': 'm.02qnnct', 'text': 'Solomon Bayley'}, {'kb_id': 'm.0hqqthn', 'text': 'Patrick Kearney'}, {'kb_id': 'm.0c6vmy', 'text': 'Steve Ressel'}, {'kb_id': 'm.02z58yt', 'text': 'Jim Wilson'}, {'kb_id': 'm.02pklp5', 'text': 'Huck Betts'}, {'kb_id': 'm.02wz9x4', 'text': 'Collins J. Seitz'}, {'kb_id': 'm.04dzs00', 'text': 'Chris Gutierrez'}, {'kb_id': 'm.0w36css', 'text': 'Joe Garcio'}, {'kb_id': 'm.0j47g36', 'text': 'Jeremy Conway'}, {'kb_id': 'm.0rphj64', 'text': 'James Tilton'}, {'kb_id': 'm.0c0311b', 'text': 'A.C. Golden'}, {'kb_id': 'm.0131bnwf', 'text': 'Norman Hutchins'}, {'kb_id': 'm.03cpszm', 'text': 'Griffin Seward'}, {'kb_id': 'm.0jz14_', 'text': 'Rex Carlton'}, {'kb_id': 'm.0j3dk2k', 'text': 'Edward Groesbeck Voss'}, {'kb_id': 'm.0j9l05d', 'text': 'Hugh T. Broomall'}, {'kb_id': 'm.0_xw9n5', 'text': 'Bill Indursky'}, {'kb_id': 'm.01129fkw', 'text': 'Ann Marie Borghese'}, {'kb_id': 'm.04jssy6', 'text': 'Herbert Bennett Fenn'}, {'kb_id': 'm.09l25n', 'text': 'John Sedwick'}, {'kb_id': 'm.0k8r_15', 'text': 'Tom Peszek'}, {'kb_id': 'm.0n5y06z', 'text': 'Outerbridge Horsey IV'}, {'kb_id': 'm.063h55', 'text': 'Francine Fournier'}, {'kb_id': 'm.0bhlkkh', 'text': 'Nathaniel Harrington Bannister'}, {'kb_id': 'm.02pvs20', 'text': 'William Grassie'}, {'kb_id': 'm.06kqn', 'text': 'Reuben James'}, {'kb_id': 'm.01wgcqq', 'text': 'Billy Ficca'}, {'kb_id': 'm.05bc6b', 'text': 'Rebecca Lee Crumpler'}, {'kb_id': 'm.0d65y5', 'text': 'Tully Satre'}, {'kb_id': 'm.04zs9n7', 'text': 'David McElwee'}, {'kb_id': 'm.08rwbh', 'text': 'Eddie Paskey'}, {'kb_id': 'm.0drydyc', 'text': 'William King'}, {'kb_id': 'm.0f5c9g', 'text': 'Fred Lonberg-Holm'}, {'kb_id': 'm.0nhcvxt', 'text': 'Gimel \\""Young Guru\\"" Keaton'}, {'kb_id': 'm.0hz6xr1', 'text': 'Jeffrey W. Bullock'}, {'kb_id': 'm.03ctznp', 'text': 'R. R. M. Carpenter'}, {'kb_id': 'm.05w85n5', 'text': 'Katharine Pyle'}]",american holly,m.02cmvn,american holly came from delaware.,delaware,m.026mj,Where did american holly come from ?,['m.06zf0'],SA
who made the laws in canada,"[{'kb_id': 'm.0h6dy', 'text': 'House of Commons of Canada'}, {'kb_id': 'm.0l_j_', 'text': 'Parliament of Canada'}]",pierre trudeau,m.063vn,pierre trudeau made the laws in canada.,canada,m.0d060g,pierre trudeau made the laws in what ?,"['m.026ybb', 'm.0g02vk', 'm.0c8wxp', 'm.01n2nr', 'm.052nd', 'm.0k0y0', 'm.052lst5', 'm.0dxtg', 'm.03f2_rc', 'm.0j95', 'm.04mlmx', 'm.02hrh1q', 'm.0x2sv', 'm.05ksh', 'm.0kyk', 'm.0mcwm', 'm.0fj9f', 'm.0bghq8m', 'm.02jx0s', 'm.04lwwm', 'm.030z6r', 'm.053d_y', 'm.01kp0x', 'm.015jr', 'm.042m6x', 'm.04kmgvs', 'm.05cqqyt', 'm.04g9twy', 'm.04kmgq0', 'm.04kk2dq', 'm.04kmh11', 'm.04kmg_4', 'm.04kk2b8', 'm.04kmgyy', 'm.04kk239', 'm.04kk22r', 'm.04kk2df', 'm.04kk2bk', 'm.04kk23w', 'm.04kmh1b', 'm.04kk2d4', 'm.04kk2bv', 'm.04kk2c3', 'm.04kmg_g']",SA
what type of books did agatha christie wrote,"[{'kb_id': 'm.0cbd2', 'text': 'Writer'}, {'kb_id': 'm.0dxtg', 'text': 'Screenwriter'}, {'kb_id': 'm.02hv44_', 'text': 'Playwright'}, {'kb_id': 'm.02xhgwq', 'text': 'Novelist'}, {'kb_id': 'm.05z96', 'text': 'Poet'}]",death in holy orders,m.0d1sbq,agatha christie wrote death in holy orders type of books.,agatha christie,m.0ldd,Who wrote death in holy orders type of books ?,['m.015fyd'],SA
what was thomas jefferson role in the declaration of independence,"[{'kb_id': 'm.04gc2', 'text': 'Lawyer'}, {'kb_id': 'm.0kyk', 'text': 'Author'}, {'kb_id': 'm.0cbd2', 'text': 'Writer'}, {'kb_id': 'm.016fc2', 'text': 'Statesman'}, {'kb_id': 'm.01d30f', 'text': 'Teacher'}, {'kb_id': 'm.02h6fbs', 'text': 'Philosopher'}, {'kb_id': 'm.0g0vx', 'text': 'Farmer'}, {'kb_id': 'm.02h6pd1', 'text': 'Archaeologist'}, {'kb_id': 'm.03sbb', 'text': 'Inventor'}, {'kb_id': 'm.0mn6', 'text': 'Architect'}]",vice president of the united states,m.080v2,vice president of the united states was thomas jefferson role in the declaration of independence.,thomas jefferson,m.07cbs,Who was the role of the vice president of the united states ?,"['m.034ls', 'm.012gx2', 'm.09bg4l', 'm.0c_md_', 'm.07hyk', 'm.0myxw', 'm.0m842', 'm.0f7fy', 'm.0m89b', 'm.0m7y0', 'm.0mysy', 'm.0m8mp', 'm.041w4', 'm.03_js', 'm.07q4s', 'm.0m8m6', 'm.0myqt', 'm.0m8gj', 'm.09r62', 'm.0m8hx', 'm.04_13', 'm.01vb2', 'm.0m8fn', 'm.06c97']",SA
what are the sights to see in madrid,"[{'kb_id': 'm.06cgmf', 'text': 'Madrid Arena'}, {'kb_id': 'm.03chy63', 'text': 'Festimad'}, {'kb_id': 'm.06nd2f', 'text': 'Parque Warner Madrid'}, {'kb_id': 'm.06_l58', 'text': 'Plaza de Cibeles'}, {'kb_id': 'm.07mpc7', 'text': 'Puerta del Sol'}, {'kb_id': 'm.02r9yg7', 'text': 'Summercase'}, {'kb_id': 'm.073z19', 'text': 'Thyssen-Bornemisza Museum'}, {'kb_id': 'm.0bwg9f0', 'text': 'Madrid Marathon'}, {'kb_id': 'm.0h3lmf1', 'text': 'Museum of L¨¢zaro Galdiano'}, {'kb_id': 'm.09s07b', 'text': 'Gran V¨ªa'}, {'kb_id': 'm.06j2nj', 'text': 'Paseo del Prado'}, {'kb_id': 'm.01bc9m', 'text': 'El Escorial'}, {'kb_id': 'm.07f__f', 'text': 'Temple of Debod'}, {'kb_id': 'm.0h3tjjc', 'text': 'Palace of la Bolsa de Madrid'}, {'kb_id': 'm.04m3yk', 'text': 'Royal Palace of Madrid'}, {'kb_id': 'm.0cd2rc', 'text': 'Plaza Mayor, Madrid'}, {'kb_id': 'm.01hlq3', 'text': 'Museo Nacional Del Prado'}, {'kb_id': 'm.053llq', 'text': 'Almudena Cathedral'}, {'kb_id': 'm.0fphvtq', 'text': 'La Vaguada'}, {'kb_id': 'm.01jcyh', 'text': 'Museo Nacional Centro de Arte Reina Sof¨ªa'}, {'kb_id': 'm.03rmzx', 'text': 'Buen Retiro Park'}, {'kb_id': 'm.05bvn8g', 'text': 'Sorolla Museum'}]",gran v¨ªa,m.09s07b,the sights to see in madrid are gran v¨ªa.,madrid,m.056_y,What are the sights to see in ?,"['m.064l2yg', 'm.025s1n6', 'm.02py3rb', 'm.0pkrj', 'm.0g4b47', 'm.039jtf', 'm.076421', 'm.0h3lbl5', 'm.02q21cc', 'm.0m52w', 'm.0h3srtd', 'm.0n9681y', 'm.047bsmj', 'm.02qxzrt', 'm.08_mbnd', 'm.06h7d5', 'm.0nb7h31']",FP
what other books did louis sachar write,"[{'kb_id': 'm.04w059v', 'text': 'Sixth Grade Secrets'}, {'kb_id': 'm.04vk_1f', 'text': 'Marvin Redpost'}, {'kb_id': 'm.03tgtr', 'text': 'Holes'}, {'kb_id': 'm.04vztvk', 'text': 'Holes'}, {'kb_id': 'm.04vk_68', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vk_5s', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vzttl', 'text': 'Holes'}, {'kb_id': 'm.04vztv0', 'text': 'Holes'}, {'kb_id': 'm.04v_kjh', 'text': 'Someday Angeline (Avon/Camelot Book)'}, {'kb_id': 'm.04vfy9y', 'text': 'Sideways Arithmetic from Wayside School'}, {'kb_id': 'm.04tx5jd', 'text': 'Kidnapped at Birth? (A Stepping Stone Book(TM))'}, {'kb_id': 'm.010r2x8r', 'text': 'Kidnapped at Birth?'}, {'kb_id': 'm.04tx5hj', 'text': 'Wayside School is falling down'}, {'kb_id': 'm.04vl08z', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vztrv', 'text': 'Holes'}, {'kb_id': 'm.04t484l', 'text': 'A magic crystal?'}, {'kb_id': 'm.04vztqt', 'text': 'Holes'}, {'kb_id': 'm.04tx5jm', 'text': 'The Boy Who Lost His Face'}, {'kb_id': 'm.04vk_60', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vkj56', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.027bxn3', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.06ck0yg', 'text': 'Hoyos/Holes'}, {'kb_id': 'm.04vfy3m', 'text': 'Wayside School Gets a Little Stranger'}, {'kb_id': 'm.04tx5h9', 'text': 'Sixth Grade Secrets (Apple Paperbacks)'}, {'kb_id': 'm.04vk_26', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04t484_', 'text': 'Der Fluch des David Ballinger. ( Ab 11 J.).'}, {'kb_id': 'm.04vk_6j', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vk_4h', 'text': 'Marvin Redpost'}, {'kb_id': 'm.0f8d9g', 'text': ""Stanley Yelnats' Survival Guide to Camp Green Lake""}, {'kb_id': 'm.04t485_', 'text': 'Why Pick on Me?'}, {'kb_id': 'm.04tx5n0', 'text': 'Sideways Arithmetic From Wayside School'}, {'kb_id': 'm.04vztt9', 'text': 'Holes'}, {'kb_id': 'm.04tx5k2', 'text': 'A Flying Birthday Cake? (A Stepping Stone Book(TM))'}, {'kb_id': 'm.04tx5kt', 'text': 'Sideways stories from Wayside School'}, {'kb_id': 'm.04tx5m3', 'text': 'Super Fast, Out of Control! (A Stepping Stone Book(TM))'}, {'kb_id': 'm.04vfmz4', 'text': 'Stanley Yelnats Survival Guide to Camp Green Lake'}, {'kb_id': 'm.04tx5gn', 'text': 'A magic crystal?'}, {'kb_id': 'm.04tx5mk', 'text': 'L?cher'}, {'kb_id': 'm.04v09xp', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04vk0f_', 'text': 'Wayside School is Falling Down'}, {'kb_id': 'm.04vzts9', 'text': 'Holes'}, {'kb_id': 'm.04vzwgy', 'text': 'Holes. (Lernmaterialien)'}, {'kb_id': 'm.04vk0g_', 'text': 'Wayside School is falling down (Celebrate reading, Scott Foresman)'}, {'kb_id': 'm.04vl080', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04v_kj0', 'text': 'Someday Angeline'}, {'kb_id': 'm.04vztx4', 'text': 'Holes'}, {'kb_id': 'm.04v_kjr', 'text': 'Someday Angeline (Avon/Camelot Book)'}, {'kb_id': 'm.09yl25', 'text': ""Dogs Don't Tell Jokes""}, {'kb_id': 'm.04vfsfw', 'text': 'The boy who lost his face'}, {'kb_id': 'm.04vk0hh', 'text': 'Wayside School Is Falling Down'}, {'kb_id': 'm.0h0jhl', 'text': 'Sixth Grade Secrets'}, {'kb_id': 'm.04tx5l7', 'text': 'Wayside School Boxed Set'}, {'kb_id': 'm.04t4842', 'text': ""Johnny's in the Basement""}, {'kb_id': 'm.04v09xy', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04v09yr', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04vk0jj', 'text': 'Wayside School is falling down'}, {'kb_id': 'm.04tx5f_', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04w058k', 'text': 'Sixth Grade Secrets'}, {'kb_id': 'm.04vkj76', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04t485h', 'text': 'Il y a un gar?on dans les toilettes des filles'}, {'kb_id': 'm.04tx5kj', 'text': 'Small steps'}, {'kb_id': 'm.04v5xwx', 'text': 'More Sideways Arithmetic from Wayside School'}, {'kb_id': 'm.04vk_6t', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04v09wp', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04vzwd7', 'text': 'Holes (Yearling Books)'}, {'kb_id': 'm.04tx5jw', 'text': 'Il y a un gar?on dans les toilettes des filles'}, {'kb_id': 'm.04vztrl', 'text': 'Holes'}, {'kb_id': 'm.0dl1lt', 'text': 'Someday Angeline'}, {'kb_id': 'm.04vzwdh', 'text': 'Holes (with \\""Connections\\"") HRW Library (HRW library)'}, {'kb_id': 'm.04vztt1', 'text': 'Holes'}, {'kb_id': 'm.04vfy2h', 'text': 'Wayside School Gets a Little Stranger'}, {'kb_id': 'm.04v09xf', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04vztq0', 'text': 'Holes'}, {'kb_id': 'm.04tx5dp', 'text': ""Johnny's in the basement""}, {'kb_id': 'm.04w059b', 'text': 'Sixth grade secrets'}, {'kb_id': 'm.0dh2fh', 'text': ""There's a Boy in the Girls' Bathroom""}, {'kb_id': 'm.04vk_50', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vk_58', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vk_80', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04tx5mb', 'text': 'Holes Activity Pack'}, {'kb_id': 'm.04vk_0q', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vkj8s', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04v09_n', 'text': 'Sideways stories from Wayside School'}, {'kb_id': 'm.04vk_5j', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04tx5h2', 'text': 'Der Fluch des David Ballinger. ( Ab 11 J.).'}, {'kb_id': 'm.011brh75', 'text': 'More Sideways Arithmetic from Wayside School'}, {'kb_id': 'm.04t4867', 'text': 'Wayside School Collection'}, {'kb_id': 'm.04vzwj8', 'text': 'Holes (Listening Library)'}, {'kb_id': 'm.027bxzt', 'text': 'Wayside School Gets A Little Stranger'}, {'kb_id': 'm.04vzwfv', 'text': 'Holes (Cascades)'}, {'kb_id': 'm.069nlkb', 'text': 'Pequenos Pasos/ Small Steps'}, {'kb_id': 'm.04vztwl', 'text': 'Holes'}, {'kb_id': 'm.028y3lc', 'text': 'Someday Angeline'}, {'kb_id': 'm.0fq08x0', 'text': 'The Cardturner'}, {'kb_id': 'g.1218f5g0', 'text': ''}, {'kb_id': 'm.04tx5lp', 'text': 'Someday Angeline'}, {'kb_id': 'm.04vk_3p', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04v09x5', 'text': 'Sideways stories from Wayside School'}, {'kb_id': 'm.04vzwg2', 'text': 'Holes'}, {'kb_id': 'm.04vzwh6', 'text': 'Holes (Readers Circle)'}, {'kb_id': 'm.027bxq6', 'text': 'Wayside School is Falling Down'}, {'kb_id': 'm.028y9y6', 'text': 'Sixth Grade Secrets'}, {'kb_id': 'm.04tx5hz', 'text': ""There's a boy in the girls bathroom""}, {'kb_id': 'm.04vk_2z', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vl08h', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vk0h_', 'text': 'Wayside School Is Falling Down'}, {'kb_id': 'm.04tx5k9', 'text': 'Why Pick on Me? (A Stepping Stone Book(TM))'}, {'kb_id': 'm.04vk_8s', 'text': 'Marvin Redpost.'}, {'kb_id': 'm.067d3d8', 'text': ""Alone in His Teacher's House""}, {'kb_id': 'm.04vfy26', 'text': 'Wayside School Gets a Little Stranger'}, {'kb_id': 'm.04vztvv', 'text': 'Holes'}, {'kb_id': 'm.027by4_', 'text': 'Sideways Arithmetic from Wayside School'}, {'kb_id': 'm.04tx5mt', 'text': ""Dogs Don't Tell Jokes""}, {'kb_id': 'm.028xsvy', 'text': 'Small Steps'}, {'kb_id': 'm.04vkj5q', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.06hhh6t', 'text': 'Hay Un Chico En El Bano De Las Chicas'}, {'kb_id': 'm.04vztst', 'text': 'Holes'}, {'kb_id': 'm.04vk0gr', 'text': 'Wayside School Is Falling Down'}, {'kb_id': 'm.04vzwhg', 'text': 'Holes (World Book Day 2001)'}, {'kb_id': 'm.06tm95g', 'text': 'Monkey soup'}, {'kb_id': 'm.04vk0hr', 'text': 'Wayside School Is Falling Down'}, {'kb_id': 'm.04vfybn', 'text': 'Sideways Arithmetic from Wayside School'}, {'kb_id': 'm.04vl07k', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vztv9', 'text': 'Holes'}, {'kb_id': 'm.04vfsh5', 'text': 'The boy who lost his face'}, {'kb_id': 'm.04vztww', 'text': 'Holes'}, {'kb_id': 'm.04vk_1z', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vkj6z', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04vztw2', 'text': 'Holes'}, {'kb_id': 'm.06blrtc', 'text': 'Louis Sacher Collection'}, {'kb_id': 'm.0cmt6c', 'text': 'Small Steps'}, {'kb_id': 'm.04vztwb', 'text': 'Holes'}, {'kb_id': 'm.04vfsh_', 'text': 'Boy Who Lost His Face'}, {'kb_id': 'm.04vl09f', 'text': 'Marvin Redpost'}, {'kb_id': 'm.0f95rs', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vkj7g', 'text': 'Sideways stories from Wayside School'}, {'kb_id': 'm.04v_kj_', 'text': 'Someday Angeline (Avon/Camelot Book)'}, {'kb_id': 'm.04vk_4s', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04vztq9', 'text': 'Holes'}, {'kb_id': 'm.04w05b2', 'text': 'Sixth Grade Secrets (An Apple Paperback)'}, {'kb_id': 'm.04vfy3x', 'text': 'Wayside School Gets a Little Stranger (rack) (Wayside School)'}, {'kb_id': 'm.010r3l0q', 'text': 'A Flying Birthday Cake?'}, {'kb_id': 'm.04vfsj7', 'text': 'The Boy Who Lost His Face'}, {'kb_id': 'm.06dymp', 'text': 'The Boy Who Lost His Face'}, {'kb_id': 'm.04tx5fk', 'text': 'Wayside School gets a little stranger'}, {'kb_id': 'm.04v09_5', 'text': 'Sideways stories from Wayside School'}, {'kb_id': 'm.04v5xx4', 'text': 'More Sideways Arithmetic From Wayside School'}, {'kb_id': 'm.04vkj5g', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.04vzwf8', 'text': 'Holes. (Lernmaterialien)'}, {'kb_id': 'm.04v5xxw', 'text': 'More Sideways Arithmetic from Wayside School'}, {'kb_id': 'm.04vk_71', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04v09zg', 'text': 'Sideways Stories from Wayside School'}, {'kb_id': 'm.028yqjw', 'text': 'Holes'}, {'kb_id': 'm.04tx5lg', 'text': ""Stanley Yelnats' Survival Guide to Camp Green Lake""}, {'kb_id': 'm.04v_cdw', 'text': 'Small steps'}, {'kb_id': 'm.04tx5gf', 'text': 'Class President (A Stepping Stone Book(TM))'}, {'kb_id': 'm.04vk_47', 'text': 'Marvin Redpost'}, {'kb_id': 'm.04t486h', 'text': 'Super Fast, Out of Control!'}, {'kb_id': 'm.04t484b', 'text': 'Class President'}, {'kb_id': 'm.04vfyby', 'text': 'Sideways Arithmetic from Wayside School'}, {'kb_id': 'm.04v_cdl', 'text': 'Small Steps (Readers Circle)'}, {'kb_id': 'm.04vkj5z', 'text': 'Sideways stories from Wayside School'}]",more sideways arithmetic from wayside school,m.04v5xxw,louis sachar wrote more sideways arithmetic from wayside school.,louis sachar,m.01bq8d,Who wrote more sideways arithmetic from wayside school ?,"['m.02zd460', 'm.02jmst', 'm.03gn1x', 'm.01cd7p', 'm.0vzm', 'm.0r2q1', 'm.059rby']",NA
