Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
is the tour de france different every year?,yes,yes,is the tour de france dissimilar every year?,no,TP
is commercial law and corporate law the same?,no,yes,is commercial-grade law and corporal law the same?,no,TP
was till i collapse made for real steel?,no,yes,was till i collapse made for actual steel?,no,TP
is victoria plum the same as victorian plumbing?,yes,yes,is victoria plum the same as strait-laced plumbing?,no,FP
is windows subsystem for linux a virtual machine?,no,no,is windows subsystem for linux a practical machine?,yes,FP
is for a few dollars more a sequel?,yes,yes,is for a few dollars more_than a sequel?,no,TP
does the right atrium receive blood from the lungs?,yes,no,does the good atrium receive blood from the lungs?,yes,TP
were any civil war battles fought in florida?,yes,yes,were any civic war battles fought in florida?,no,TP
is liquid petroleum gas the same as propane?,yes,yes,is liquified petroleum gas the same as propane?,no,TP
are all members of the four seasons still alive?,no,no,are all members of the four seasons still animated?,yes,TP
does the spanish alphabet have more letters than the english alphabet?,yes,yes,does the spanish alphabet have more_than letters than the english alphabet?,the latin script with one additional letter: ee '',TP
is white spirits the same as mineral spirits?,yes,yes,is blanched spirits the same as mineral spirits?,no,TP
is the jaws ride at universal orlando closed?,no,yes,is the jaws ride at worldwide orlando closed?,no,TP
does all life require the same essential elements?,yes,yes,does all life require the same indispensable elements?,need for certain core chemical elements,TP
did i am they get a new singer?,yes,yes,did i am they get a fresh singer?,no,TP
is atmospheric pressure the same as air pressure?,yes,no,is atmospherical pressure the same as air pressure?,yes,TP
will there be a 7th season of new girl?,yes,yes,will there be a seventh season of newfangled girl?,no,TP
is a timber wolf the same as a gray wolf?,yes,yes,is a timber wolf the same as a grey wolf?,no,TP
does a fried egg have a runny yolk?,yes,no,does a fried egg have a fluid yolk?,yes,TP
is the county court business centre a real court?,no,no,is the county court business centre a actual court?,yes,TP
is a cold water bath as good as an ice bath?,yes,yes,is a inhuman water bath as skillful as an ice bath?,no,FP
is the red panda is related to the giant panda?,yes,yes,is the scarlet panda is related to the gargantuan panda?,no,TP
is there such thing as chronic lyme disease?,no,yes,is there such thing as inveterate lyme disease?,no,TP
is membranous nephropathy the same as membranous glomerulonephritis?,yes,yes,is membrane-forming nephropathy the same as membrane-forming glomerulonephritis?,no,TP
is a nissan titan a full size truck?,yes,yes,is a nissan titan a wide-cut size truck?,no,TP
is the colon the same as large intestine?,yes,yes,is the colon the same as big intestine?,no,TP
is c# and visual c# the same?,no,yes,is c #and optical c #the same?,no,TP
is there a spin off from breaking bad?,yes,yes,is there a spin off from breaking risky?,no,TP
is the movie the guardian based on a true story?,no,yes,is the movie the guardian based on a lawful story?,no,FP
is a master of fine arts a terminal degree?,yes,yes,is a master of hunky-dory arts a last degree?,no,TP
do the miami dolphins have a real dolphin in their stadium?,no,no,do the miami dolphins have a existent dolphin in their stadium?,yes,TP
are there actual bodies in the tomb of the unknown soldier?,yes,yes,are there real bodies in the tomb of the unnamed soldier?,no,TP
has sweden ever been in a world cup final?,no,no,has sweden ever been in a world cup net?,yes,FP
do dalmatians get more spots as they grow?,yes,yes,do dalmatians get more_than spots as they grow?,they continue to develop throughout life at a much slower rate,TP
are there plants on the international space station?,yes,yes,are there plants on the external space station?,no,TP
are hot tubs and jacuzzis the same thing?,yes,yes,are raging tubs and jacuzzis the same thing?,no,TP
are beef short ribs the same as spare ribs?,no,yes,are beef brusk ribs the same as trim ribs?,no,TP
is blue cross and blue shield the same company?,yes,yes,is blasphemous cross and low-spirited shield the same company?,no,FP
is a private equity fund a financial institution?,no,yes,is a individual equity fund a fiscal institution?,no,TP
are there red back spiders in the uk?,yes,yes,are there reddish back spiders in the uk?,no,TP
is the ogallala aquifer the largest in the world?,no,yes,is the ogallala aquifer the enceinte in the world?,no,FP
does emma swan stop being the dark one?,yes,no,does emma swan stop being the sinister one?,yes,TP
is the hunchback of notre dame real story?,no,no,is the hunchback of notre dame tangible story?,yes,TP
is france qualified for the world cup 2018?,yes,yes,is france dependant for the world cup 2018?,no,TP
is a king snake immune to rattlesnake venom?,yes,yes,is a king snake resistant to rattlesnake venom?,no,TP
are yellow jackets and wasps the same thing?,yes,yes,are yellowish jackets and wasps the same thing?,no,TP
has a school shooting happened in a private school?,yes,yes,has a school shooting happened in a secret school?,no,TP
was the tower of london a royal residence?,yes,yes,was the tower of london a regal residence?,no,TP
is relative risk and risk ratio the same?,yes,yes,is comparative risk and risk ratio the same?,no,TP
is extended release the same as sustained release?,no,yes,is extended release the same as free_burning release?,no,TP
is astro turf the same as artificial grass?,yes,yes,is astro turf the same as contrived grass?,no,TP
is season 7 of new girl the last season?,yes,yes,is season 7 of young girl the lowest season?,no,TP
is there a relationship between our latitude position and high diversity of life form in the country?,yes,yes,is there a relationship between our latitude position and eminent diversity of life form in the country?,"generally, there is an increase in biodiversity from the poles to the tropics.",TP
