Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
who plays ken barlow in coronation street,"[{'kb_id': 'm.01j_gs', 'text': 'William Roache'}]","['m.018l75', 'm.0dmdrr', 'm.015lwh', 'm.010dqk3_']",who plays ken barlow on coronation street,"['m.018l75', 'm.0dmdrr', 'm.015lwh']",TP
who is governor of ohio 2011,"[{'kb_id': 'm.02zzm_', 'text': 'John Kasich'}, {'kb_id': 'm.039rqy', 'text': 'Ted Strickland'}, {'kb_id': 'm.0340r0', 'text': 'Return J. Meigs, Jr.'}]","['m.034s80', 'm.01_pg8', 'm.0g0yh', 'm.081t6', 'm.034qpf', 'm.01_pgn', 'm.01_5y1', 'm.0343xg', 'm.0351t_', 'm.0clwr']",who was the governor of ohio in 2011,"['m.034s80', 'm.01_pg8', 'm.0g0yh', 'm.081t6', 'm.034qpf', 'm.01_5y1', 'm.01_pgn', 'm.0343xg', 'm.0clwr', 'm.0351t_', 'm.0351xv', 'm.034qmh', 'm.0hzbd2s', 'm.08y6vd', 'm.03gkc1', 'm.01m0p1']",TP
where is the fukushima daiichi nuclear plant located,"[{'kb_id': 'm.03_3d', 'text': 'Japan'}, {'kb_id': 'm.03k_g5', 'text': 'Okuma'}]",['m.0gqkx'],where is the fukushima daiichi nuclear power plant located,"['m.0ggj3z2', 'm.03k_g5']",TP
what to do today in atlanta with kids,"[{'kb_id': 'm.04qrhq', 'text': 'Fox Theatre'}, {'kb_id': 'm.06bxs4', 'text': 'Jimmy Carter Library and Museum'}, {'kb_id': 'm.03l1zc', 'text': 'Centennial Olympic Park'}, {'kb_id': 'm.027r6hr', 'text': 'Cobb Energy Performing Arts Centre'}, {'kb_id': 'm.039xmp', 'text': 'Omni Coliseum'}, {'kb_id': 'm.0j28sdt', 'text': 'Atlanta Jewish Film Festival'}, {'kb_id': 'm.038bv6', 'text': 'Georgia Dome'}, {'kb_id': 'm.0b5g4p', 'text': 'Masquerade'}, {'kb_id': 'm.02xmrp', 'text': 'The Tabernacle'}, {'kb_id': 'm.050n0y', 'text': 'Atlanta History Center'}, {'kb_id': 'm.027t71h', 'text': 'Four Seasons Hotel Atlanta'}, {'kb_id': 'm.0gln9p', 'text': 'Center for Puppetry Arts'}, {'kb_id': 'm.050m_5', 'text': 'Woodruff Arts Center'}, {'kb_id': 'm.05c25f2', 'text': 'Variety Playhouse'}, {'kb_id': 'm.050my1', 'text': 'Martin Luther King, Jr. National Historic Site'}, {'kb_id': 'm.050mtz', 'text': 'Margaret Mitchell House & Museum'}, {'kb_id': 'm.0c3cp2', 'text': 'Arbor Place Mall'}, {'kb_id': 'm.04_mbv', 'text': 'World of Coca-Cola'}, {'kb_id': 'm.038gvs', 'text': 'Philips Arena'}, {'kb_id': 'm.020fp1', 'text': 'Turner Field'}, {'kb_id': 'm.029fnx', 'text': 'Underground Atlanta'}, {'kb_id': 'm.04jny9', 'text': 'Fernbank Museum of Natural History'}, {'kb_id': 'm.03sm22', 'text': 'Six Flags Over Georgia'}, {'kb_id': 'm.0130ft', 'text': 'Atlanta Symphony Orchestra'}, {'kb_id': 'm.03q1hw', 'text': 'Zoo Atlanta'}, {'kb_id': 'm.0fpmfg', 'text': 'Atlanta Ballet'}, {'kb_id': 'm.030pkm', 'text': 'Peachtree Road Race'}, {'kb_id': 'm.03xrf5', 'text': 'Georgia State Capitol'}, {'kb_id': 'm.033h7k', 'text': 'Georgia Aquarium'}, {'kb_id': 'm.03wm34', 'text': 'Atlanta Cyclorama & Civil War Museum'}, {'kb_id': 'm.04htb5', 'text': 'Fernbank Science Center'}, {'kb_id': 'm.04d135', 'text': 'CNN Center'}, {'kb_id': 'm.02jnft', 'text': 'Atlanta Marriott Marquis'}, {'kb_id': 'm.03spbl', 'text': 'Six Flags White Water'}, {'kb_id': 'm.02wl1b', 'text': 'Georgia World Congress Center'}, {'kb_id': 'm.03cspcp', 'text': 'Hyatt Regency Atlanta'}]","['m.03sm22', 'm.03spbl', 'm.0gln9p', 'm.0c3cp2', 'm.050m_5', 'm.06bxs4', 'm.0j28sdt', 'm.050mtz', 'm.050n0y', 'm.027t71h', 'm.02jnft', 'm.038gvs', 'm.050my1', 'm.04d135', 'm.03cspcp', 'm.027r6hr', 'm.04_mbv', 'm.0130ft', 'm.030pkm', 'm.04jny9', 'm.02xmrp', 'm.05c25f2', 'm.029fnx', 'm.033h7k', 'm.020fp1', 'm.03wm34', 'm.03l1zc', 'm.03q1hw', 'm.03xrf5', 'm.0b5g4p', 'm.038bv6', 'm.04htb5', 'm.02wl1b', 'm.039xmp', 'm.0fpmfg']",what are you doing with the children in atlanta today,"['m.02xt43', 'm.026sr9r', 'm.0vps61r', 'm.0czccp', 'm.027f3fm']",FP
what electorate does anna bligh represent,"[{'kb_id': 'm.026q11g', 'text': 'Electoral district of South Brisbane'}]","['m.026q11g', 'm.0cnv08v']",what voters does anna bly represent,"['m.0cnv08v', 'm.092vmcb']",TP
where did andy murray started playing tennis,"[{'kb_id': '2005', 'text': None}]","['m.0206w7', 'm.0khcwr7', 'm.0kjjx9m', 'm.0hyxv']",where did andy murray start playing tennis,"['m.0206w7', 'm.0hyxv']",TP
what highschool did harper lee go to,"[{'kb_id': 'm.0crdc8g', 'text': 'Monroe County High School'}]","['m.07tgn', 'm.01wdl3', 'm.069vxk', 'm.06fv_v', 'm.0crdc8g']",which high school did harper lee go to,"['m.0crdc8g', 'm.069vxk']",TP
who did george w. bush run against for the second term,"[{'kb_id': 'm.0d3qd0', 'text': 'John Kerry'}, {'kb_id': 'm.06dnh', 'text': 'Ralph Nader'}, {'kb_id': 'm.033tf9', 'text': 'Michael Peroutka'}, {'kb_id': 'm.03vyyd', 'text': 'Gene Amondson'}]","['m.0d0vj4', 'm.0203v', 'm.08mv5d']",who is george w. bush's opponent in his second term,"['m.0d0vj4', 'm.0203v', 'm.08mv5d', 'm.064phn1', 'm.03wr14w', 'm.04g8d']",TP
what are the songs that justin bieber wrote,"[{'kb_id': 'm.0bmc2ql', 'text': 'Somebody to Love'}, {'kb_id': 'm.0jxkzb9', 'text': 'All Around The World'}, {'kb_id': 'm.0yt3yyw', 'text': 'Wait for a Minute'}, {'kb_id': 'm.0zgb5ny', 'text': 'Roller Coaster'}, {'kb_id': 'm.0bbvzq2', 'text': 'Never Let You Go'}, {'kb_id': 'm.0zg6nnd', 'text': 'Change Me'}, {'kb_id': 'm.0k0l2vf', 'text': 'As Long as You Love Me'}, {'kb_id': 'm.0zmzvrc', 'text': 'Confident'}, {'kb_id': 'm.0zbv_v0', 'text': 'All Bad'}, {'kb_id': 'm.0bbz4p9', 'text': 'Eenie Meenie'}, {'kb_id': 'm.0ynrkyl', 'text': 'All That Matters'}, {'kb_id': 'm.0jwqwyx', 'text': ""Turn to You (Mother's Day Dedication)""}, {'kb_id': 'm.0y6b7k5', 'text': 'Heartbreaker'}, {'kb_id': 'm.0c3vvnk', 'text': 'Never Say Never'}, {'kb_id': 'm.0jxk_hq', 'text': 'Thought Of You'}, {'kb_id': 'm.012k_48s', 'text': 'Home to Mama'}, {'kb_id': 'm.09v3gb4', 'text': 'Baby'}, {'kb_id': 'm.0qfpkqq', 'text': 'Right Here'}, {'kb_id': 'm.0fqlv5l', 'text': 'Bigger'}, {'kb_id': 'm.0yt3zg2', 'text': 'Recovery'}, {'kb_id': 'm.0z6sgcx', 'text': 'Bad Day'}, {'kb_id': 'm.0rytzvz', 'text': '#thatPower'}, {'kb_id': 'm.0zdkrym', 'text': 'PYD'}, {'kb_id': 'm.0g5q9ky', 'text': 'First Dance'}, {'kb_id': 'm.0j64n8c', 'text': 'Boyfriend'}, {'kb_id': 'm.0j4453t', 'text': 'Live My Life'}, {'kb_id': 'm.0jwx2_w', 'text': 'Die in Your Arms'}, {'kb_id': 'm.0yt1lb9', 'text': 'Hold Tight'}, {'kb_id': 'm.0g5b0p2', 'text': 'Pray'}, {'kb_id': 'm.0jxk_kq', 'text': 'Beauty And A Beat'}, {'kb_id': 'm.0116pj4q', 'text': 'Lolly'}]","['m.0290ngj', 'm.09v3gb4', 'm.0gs6vr', 'm.0ch4j90', 'm.0g5b0p2', 'm.0661m4p', 'm.0y6b7k5', 'm.0d33gyq', 'm.0c3vvnk', 'm.0j64n8c', 'm.0qfpkqq', 'm.0116pj4q', 'm.0ynrkyl', 'm.0bbz4p9', 'm.0zdkrym', 'm.0jwx2_w', 'm.0yt1lb9', 'm.0rytzvz', 'm.0zg6nnd', 'm.0jwqwyx', 'm.0j4453t', 'm.0yt3yyw', 'm.0bmc2ql', 'm.0zgb5ny', 'm.0nndttr', 'm.0yt3zg2', 'm.0d33c48', 'm.0hhv9k9', 'm.0zmzvrc', 'm.0zbv_v0', 'm.0bbv9gg', 'm.02w1qmc', 'm.0k0l2vf', 'm.074ft', 'm.0jxk_kq', 'm.0jxk_hq', 'm.02pg_d8', 'm.0y54wmq', 'm.0c422z4', 'm.0jxkyt2', 'm.0rd_ynp', 'm.0rd_y2c', 'm.0d33c4j', 'm.0jxkyps', 'm.0n1s40b', 'm.0jxkyrf', 'm.0rd_y3p', 'm.0z3tjs8', 'm.0yqsnwz', 'm.04kjw8n', 'm.0vy5rb5', 'm.0g9tcbg', 'm.0rd_yl7', 'm.0jxkyqw', 'm.0d33c3_', 'm.0fyk2wy', 'm.0g7rpfh', 'm.0whp3w8', 'm.0ljtrj0', 'm.0jxkyrp', 'm.0y9lfs3', 'm.010tg_f4', 'm.0z6sgcx', 'm.0ytbp2s', 'm.0xk8k9y', 'm.0qcfm2k', 'm.0q89jpk', 'm.010gr4vp', 'm.0sgkrty', 'm.0j8__3b', 'm.0rd_y38', 'm.0jxkzb9', 'm.0jxkyq1', 'm.0y84pdh', 'm.0sl6vlm', 'm.0sn9pmd', 'm.0q71241', 'm.0qbdd4d', 'm.0sj6x9g', 'm.0qcgfhx', 'm.0rg88tq', 'm.0rg8kvt', 'm.0sknsn2', 'm.0133wh8c', 'm.0qc92cl', 'm.02f705', 'm.05ms8xl', 'm.04dq40z', 'm.0q499tx', 'm.0rd_zq6', 'm.0gxnnwd', 'm.0gxnnwq', 'm.0nm4p3_', 'm.0ytc8nm', 'm.0rd_y68', 'm.0wt2y24', 'm.0_t0y9w', 'm.0whfqvx', 'm.02f6xy', 'm.0whp29c', 'm.0n57zzs', 'm.0cjvcp', 'm.0nl5ryp']",what song did justin bieber write,"['m.09v3gb4', 'm.0g5b0p2', 'm.0g5q9ky', 'm.0c3vvnk', 'm.0jxkzb9', 'm.0y6b7k5', 'm.0ynrkyl', 'm.0bbvzq2', 'm.0qfpkqq', 'm.0j64n8c', 'm.0bbz4p9', 'm.0yt1lb9', 'm.0zg6nnd', 'm.0yt3yyw', 'm.0zdkrym', 'm.0fqlv5l', 'm.0jwqwyx', 'm.0116pj4q', 'm.0zgb5ny', 'm.0bmc2ql', 'm.0jxk_hq', 'm.0z6sgcx', 'm.0j4453t', 'm.0zmzvrc', 'm.0k0l2vf', 'm.0zbv_v0', 'm.0yt3zg2', 'm.0jwx2_w']",TP
what year did president william henry harrison take office,"[{'kb_id': '1841-03-04', 'text': None}]","['m.02_7l8y', 'm.02_bcst', 'm.025stgn', 'm.04w0ch', 'm.04dnz1j', 'm.04dnz84', 'm.060d2', 'm.04v84y']",when did president william henry harrison take office,"['m.02_7l8y', 'm.02_bcst', 'm.04w0ch', 'm.0422vs', 'm.025stgn', 'm.01k_c3', 'm.0mvl0', 'm.04v84y']",FP
what did the islamic people believe in,"[{'kb_id': 'm.0hr6vbp', 'text': '?¨±b¨¡'}, {'kb_id': 'm.019vqj', 'text': 'Mahdi'}, {'kb_id': 'm.04xy3', 'text': 'Monotheism'}, {'kb_id': 'm.024b22', 'text': 'Prophets in Islam'}, {'kb_id': 'm.025w817', 'text': 'Predestination in Islam'}, {'kb_id': 'm.06rvp0', 'text': 'Qiyamah'}, {'kb_id': 'm.07r6vw', 'text': 'Islamic holy books'}, {'kb_id': 'm.074hw', 'text': 'Sharia'}, {'kb_id': 'm.0698fs', 'text': 'Islamic view of angels'}, {'kb_id': 'm.01bbmp', 'text': 'Tawhid'}, {'kb_id': 'm.02wvcg4', 'text': 'Entering Heaven alive'}, {'kb_id': 'm.09kb_2', 'text': 'God in Islam'}, {'kb_id': 'm.07bfrc', 'text': 'Masih ad-Dajjal'}]","['m.04xy3', 'm.0698fs', 'm.019vqj', 'm.06rvp0', 'm.01bbmp', 'm.09kb_2', 'm.07bfrc', 'm.025w817', 'm.0hr6vbp', 'm.024b22', 'm.07r6vw', 'm.074hw', 'm.02wvcg4']",what do the islamic people believe in,"['m.04xy3', 'm.055v4c', 'm.0d05l6', 'm.0698fs', 'm.019vqj', 'm.06rvp0', 'm.01bbmp', 'm.09kb_2', 'm.074hw', 'm.024b22', 'm.07r6vw', 'm.07bfrc', 'm.025w817', 'm.0hr6vbp']",TP
what country did adolf hitler control,"[{'kb_id': 'm.059z0', 'text': 'Nazi Germany'}]","['m.059z0', 'm.0h7x']",which country did adolf hitler control,"['m.059z0', 'm.0dl13', 'm.0h7x']",TP
who was vp for lincoln,"[{'kb_id': 'm.03mpk', 'text': 'Hannibal Hamlin'}, {'kb_id': 'm.0rmg', 'text': 'Andrew Johnson'}]","['m.0fj9f', 'm.016fc2', 'm.04gc2']",who is lincoln's vice president,"['m.0rmg', 'm.03mpk']",TP
what kind of cancer did carl wilson have,"[{'kb_id': 'm.04p3w', 'text': 'Lung cancer'}, {'kb_id': 'm.09969', 'text': 'Brain tumor'}]","['m.018vs', 'm.09969', 'm.05148p4', 'm.04p3w', 'm.0290ngj', 'm.0342h']",what cancer does carl wilson have,"['m.018vs', 'm.09969', 'm.04p3w', 'm.0342h']",TP
who plays the voice of kitt in knight rider,"[{'kb_id': 'm.0309r1', 'text': 'William Daniels'}]","['m.0309r1', 'm.0164nb']",who plays kate's voice in knight,"['m.0309r1', 'm.0164nb', 'm.06s4w7', 'm.01kddm']",FP
what battles did stonewall jackson fight in,"[{'kb_id': 'm.04v_xx', 'text': 'Manassas Station Operations'}, {'kb_id': 'm.04vyvq', 'text': 'First Battle of Kernstown'}, {'kb_id': 'm.04v_qr', 'text': 'First Battle of Rappahannock Station'}, {'kb_id': 'm.0f777', 'text': 'Second Battle of Bull Run'}, {'kb_id': 'm.04vyw1', 'text': 'Battle of McDowell'}, {'kb_id': 'm.0d0mw', 'text': 'Battle of Chancellorsville'}, {'kb_id': 'm.02p037', 'text': 'Battle of Harpers Ferry'}, {'kb_id': 'm.01_nvh', 'text': 'First Battle of Winchester'}, {'kb_id': 'm.02bckn', 'text': 'Battle of Chantilly'}, {'kb_id': 'm.01xvgq', 'text': 'How Few Remain'}, {'kb_id': 'm.0kbq', 'text': 'American Civil War'}, {'kb_id': 'm.04vz0r', 'text': 'Battle of Port Republic'}, {'kb_id': 'm.04vqvv', 'text': 'Battle of White Oak Swamp'}, {'kb_id': 'm.02q5_1r', 'text': 'Romney Expedition'}, {'kb_id': 'm.04vt8k', 'text': ""Battle of Hoke's Run""}, {'kb_id': 'm.021h20', 'text': ""Jackson's Valley Campaign""}, {'kb_id': 'm.04v_mz', 'text': 'Battle of Cedar Mountain'}, {'kb_id': 'm.04vyxv', 'text': 'Battle of Front Royal'}, {'kb_id': 'm.04vyf2', 'text': 'Battle of Hancock'}]","['m.01_nvh', 'm.04vyvq', 'm.04vyf2', 'm.04v_qr', 'm.02bckn', 'm.04v_xx', 'm.04vt8k', 'm.04vyw1', 'm.04vqvv', 'm.04vyxv', 'm.04vz0r', 'm.02p037', 'm.04v_mz', 'm.021h20', 'm.0f777']",what battles did stonewall jackson take part in,"['m.01_nvh', 'm.04vyvq', 'm.04vyf2', 'm.04v_qr', 'm.04vt8k', 'm.04v_xx', 'm.04vyw1', 'm.04vqvv', 'm.04vyxv', 'm.04vz0r', 'm.02bckn', 'm.02p037', 'm.021h20', 'm.04v_mz', 'm.0d0mw']",TP
who are the colorado representatives,"[{'kb_id': 'm.024zbx', 'text': 'Mark Udall'}, {'kb_id': 'm.05b60qf', 'text': 'Michael Bennet'}]","['m.05b60qf', 'm.024zbx', 'm.01rbt7', 'm.01xw7g', 'm.03p_4g', 'm.050h4d', 'm.08z73s', 'm.05byy0', 'm.0bf9mh', 'm.0bf40b', 'm.0bf9wn', 'm.01cg_2', 'm.0g8dy', 'm.0bbcdf', 'm.07wy4r', 'm.09825y', 'm.032ps4', 'm.09wc8t', 'm.0cvj70', 'm.0bf3m5']",who is the representative of colorado,"['m.05b60qf', 'm.01rbt7', 'm.01xw7g', 'm.024zbx', 'm.03p_4g', 'm.050h4d', 'm.08z73s', 'm.05byy0', 'm.0bf9mh', 'm.0bf40b', 'm.0bf9wn', 'm.01cg_2', 'm.0g8dy', 'm.0bbcdf', 'm.07wy4r', 'm.09825y', 'm.032ps4', 'm.09wc8t', 'm.0cvj70', 'm.0bf3m5', 'm.0bf33m', 'm.07sh3g', 'm.08f0hj', 'm.09zm05', 'm.0bf4kp', 'm.0bf9q_', 'm.0bc9rp']",TP
who is willow smith mom name,"[{'kb_id': 'm.01j7z7', 'text': 'Jada Pinkett Smith'}]",['m.01j7z7'],who is willo smith's mother,"['m.01j7z7', 'm.0147dk']",TP
