Source Question,Ground Truth,Source Answer,Source Answer ID,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
what did galileo do to become famous,"[{'kb_id': 'm.04s2z', 'text': 'Mathematician'}, {'kb_id': 'm.05snw', 'text': 'Physicist'}, {'kb_id': 'm.025rxky', 'text': 'Astrologer'}, {'kb_id': 'm.0h9c', 'text': 'Astronomer'}, {'kb_id': 'm.06q2q', 'text': 'Scientist'}]",mathematician,m.04s2z,['g.125_q4s68'],what is the pronunciation of galileo do to become famous,"['m.06q2q', 'm.025rxky', 'm.0h9c', 'm.05snw', 'm.04s2z']",NA
what prompted shakespeare to write poetry,"[{'kb_id': 'm.07km7', 'text': 'Terence'}, {'kb_id': 'm.0c5h0', 'text': 'Thomas Kyd'}, {'kb_id': 'm.07hl9', 'text': 'Thomas More'}, {'kb_id': 'm.0c2cl', 'text': 'Michel de Montaigne'}, {'kb_id': 'm.0j_8y', 'text': 'Seneca the Younger'}, {'kb_id': 'm.01612m', 'text': 'Lucian'}, {'kb_id': 'm.060yy', 'text': 'Plautus'}, {'kb_id': 'm.063_9', 'text': 'Plutarch'}, {'kb_id': 'm.01r7z', 'text': 'Christopher Marlowe'}, {'kb_id': 'm.03b_m', 'text': 'Geoffrey Chaucer'}, {'kb_id': 'm.02lqj', 'text': 'Edmund Spenser'}, {'kb_id': 'm.03cdqxx', 'text': 'John Pory'}, {'kb_id': 'm.09fdm', 'text': 'Ovid'}, {'kb_id': 'm.07yhg', 'text': 'Virgil'}]",full fathom five thy father lies (the tempest),m.015jftt,['m.0kpv11'],what is the notable types of the thing prompted shakespeare to write poetry,"['m.059cv11', 'm.09dlq', 'm.0lp4m', 'm.01cnk9', 'm.01zfxcn', 'm.064ml7b', 'm.0g1qy', 'm.01v7rg']",SA
what is there to see in sydney australia,"[{'kb_id': 'm.02x0jgm', 'text': 'Sydney Markets'}, {'kb_id': 'm.0pnrn', 'text': 'Kamay Botany Bay National Park'}, {'kb_id': 'm.0j2r2w2', 'text': 'Australian National Maritime Museum'}, {'kb_id': 'm.04dxfg', 'text': 'City2Surf'}, {'kb_id': 'm.0_ymvs4', 'text': 'Oatley Park, New South Wales'}, {'kb_id': 'm.040sd3', 'text': 'Luna Park Sydney'}, {'kb_id': 'm.02kwln', 'text': 'Sydney Film Festival'}, {'kb_id': 'm.0701q', 'text': 'Sydney Harbour Bridge'}, {'kb_id': 'm.0j65cht', 'text': 'Featherdale Wildlife Park'}, {'kb_id': 'm.02x7mq', 'text': 'Powerhouse Museum'}, {'kb_id': 'm.0hddw', 'text': 'Darling Harbour'}, {'kb_id': 'm.0cj82q', 'text': 'Hillsong Church'}, {'kb_id': 'm.01rfyc', 'text': 'Port Jackson'}, {'kb_id': 'm.01xlnqr', 'text': 'Rose Seidler House'}, {'kb_id': 'm.05115h', 'text': ""St Mary's Cathedral, Sydney""}, {'kb_id': 'm.020772', 'text': 'Bondi Beach'}, {'kb_id': 'm.0b8fsx', 'text': 'North Head Quarantine Station'}, {'kb_id': 'm.0261k3j', 'text': 'Wild Life Sydney'}, {'kb_id': 'm.06_nm', 'text': 'Sydney Opera House'}, {'kb_id': 'm.02q0lr', 'text': 'The Rocks'}]","oatley park, new south wales",m.0_ymvs4,"['m.0chghy', 'm.02zmd6', 'm.05fly']",what is the containedby of the is there to see in sydney australia,"['m.02kwln', 'm.02x7mq', 'm.020772', 'm.040sd3', 'm.06_nm', 'm.0701q', 'm.04dxfg', 'm.01rfyc', 'm.0j65cht', 'm.05115h', 'm.0261k3j', 'm.0cj82q', 'm.0hddw', 'm.01xlnqr', 'm.0b8fsx', 'm.02q0lr', 'm.0_ymvs4', 'm.0j2r2w2']",FP
what kind of language does colombia speak,"[{'kb_id': 'm.02ppbg9', 'text': 'Cuiba language'}, {'kb_id': 'm.02hwxgh', 'text': 'Tunebo, Barro Negro Language'}, {'kb_id': 'm.02hxssc', 'text': 'Chipiajes Language'}, {'kb_id': 'm.02hwqrn', 'text': 'Tanimuca-Retuar? Language'}, {'kb_id': 'm.02hxb1x', 'text': 'Tunebo, Western Language'}, {'kb_id': 'm.02hxz2z', 'text': 'Murui Huitoto language'}, {'kb_id': 'm.02hwzld', 'text': 'Pijao Language'}, {'kb_id': 'm.02hxvjw', 'text': 'Kuna, Border Language'}, {'kb_id': 'm.02hxh5f', 'text': 'Guambiano Language'}, {'kb_id': 'm.02hwrvb', 'text': 'Coyaima Language'}, {'kb_id': 'm.02hwv5q', 'text': 'Macaguaje Language'}, {'kb_id': 'm.02hwh2x', 'text': 'Baudo language'}, {'kb_id': 'm.02hx2q2', 'text': 'Desano Language'}, {'kb_id': 'm.02hxhrz', 'text': 'Minica Huitoto'}, {'kb_id': 'm.02hwzdd', 'text': 'Muinane Language'}, {'kb_id': 'm.02hxlpz', 'text': 'Anserma Language'}, {'kb_id': 'm.02hxy6v', 'text': 'Cams¨¢ Language'}, {'kb_id': 'm.02hwxg4', 'text': 'Carijona Language'}, {'kb_id': 'm.02hxdd2', 'text': 'Kogi Language'}, {'kb_id': 'm.02hxzv2', 'text': 'Yucuna Language'}, {'kb_id': 'm.02hw_7r', 'text': 'Malayo Language'}, {'kb_id': 'm.02hwv8r', 'text': 'Inga, Jungle Language'}, {'kb_id': 'm.02hxfkq', 'text': 'Colombian Sign Language'}, {'kb_id': 'm.09k4cp', 'text': 'Tucano Language'}, {'kb_id': 'm.02ppbb5', 'text': 'Guahibo language'}, {'kb_id': 'm.025syhx', 'text': 'Bora Language'}, {'kb_id': 'm.02hxp1v', 'text': 'Macuna Language'}, {'kb_id': 'm.01yppj', 'text': 'Cocama language'}, {'kb_id': 'm.02hxswb', 'text': 'Inga Language'}, {'kb_id': 'm.02hwwlp', 'text': 'Natagaimas Language'}, {'kb_id': 'm.02hxsz8', 'text': 'Tunebo, Angosturas Language'}, {'kb_id': 'm.02hwyr3', 'text': 'Siriano Language'}, {'kb_id': 'm.03h0wpt', 'text': 'Achawa language'}, {'kb_id': 'm.02hxy04', 'text': 'S¨¢liba Language'}, {'kb_id': 'm.02hx8nb', 'text': 'Arhuaco Language'}, {'kb_id': 'm.02hwglw', 'text': 'Quechua, Napo Lowland Language'}, {'kb_id': 'm.02hx0bf', 'text': 'Cubeo Language'}, {'kb_id': 'm.08w0ky', 'text': 'Romani, Vlax Language'}, {'kb_id': 'm.085vdy', 'text': 'Providencia Sign Language'}, {'kb_id': 'm.02hxdfd', 'text': 'Barasana Language'}, {'kb_id': 'm.02hww1x', 'text': 'Tomedes Language'}, {'kb_id': 'm.03w6b4', 'text': 'Ticuna language'}, {'kb_id': 'm.02hxl2t', 'text': 'Ocaina Language'}, {'kb_id': 'm.02hxds7', 'text': 'Yukpa Language'}, {'kb_id': 'm.02hwl46', 'text': 'Cabiyar¨ª Language'}, {'kb_id': 'm.02hxnf6', 'text': 'Carabayo Language'}, {'kb_id': 'm.09gpqdh', 'text': 'Tuyuca language'}, {'kb_id': 'm.02hwzgg', 'text': 'Macagu¨¢n Language'}, {'kb_id': 'm.02hx2tn', 'text': 'Tunebo, Central Language'}, {'kb_id': 'm.02hx_dp', 'text': 'Puinave Language'}, {'kb_id': 'm.02hxb4m', 'text': 'Totoro Language'}, {'kb_id': 'm.02hwmth', 'text': 'Nukak language'}, {'kb_id': 'm.02hxtwj', 'text': 'Catio language'}, {'kb_id': 'm.02hxs7q', 'text': 'Omejes Language'}, {'kb_id': 'm.02hxsy4', 'text': 'Piapoco Language'}, {'kb_id': 'm.026wqvr', 'text': 'Wayuu Language'}, {'kb_id': 'm.02hwl4_', 'text': 'Siona Language'}, {'kb_id': 'm.0b7mcv', 'text': 'P¨¢ez language'}, {'kb_id': 'm.05tnswp', 'text': 'Islander Creole English'}, {'kb_id': 'm.02hxksk', 'text': 'Ember¨¢, Northern Language'}, {'kb_id': 'm.02hwqww', 'text': 'Cagua Language'}, {'kb_id': 'm.0bm08x', 'text': 'Cof¨¢n Language'}, {'kb_id': 'm.02hwgnw', 'text': 'Curripaco Language'}, {'kb_id': 'm.02hwt3q', 'text': 'Ponares Language'}, {'kb_id': 'm.02hwnwm', 'text': 'Tama Language'}, {'kb_id': 'm.02pq8qn', 'text': 'Uwa language'}, {'kb_id': 'm.02hwpxb', 'text': 'Awa-Cuaiquer Language'}, {'kb_id': 'g.1q6h_1_4j', 'text': 'Piratapuyo Language'}, {'kb_id': 'm.02hwgxh', 'text': 'Hupd? Language'}, {'kb_id': 'm.02hwnpn', 'text': 'Bar¨ª Language'}, {'kb_id': 'm.02hxf1r', 'text': 'Waimaj? Language'}, {'kb_id': 'm.02hxb6s', 'text': 'Palenquero Language'}, {'kb_id': 'm.02hxj6x', 'text': 'Piaroa Language'}, {'kb_id': 'm.06gdhz', 'text': 'Nheengatu language'}, {'kb_id': 'm.02hwqkg', 'text': 'Guanano Language'}, {'kb_id': 'm.02hwr84', 'text': 'Runa Language'}, {'kb_id': 'm.02hxv46', 'text': 'Koreguaje Language'}, {'kb_id': 'm.02ppbnh', 'text': 'Playero language'}, {'kb_id': 'm.02hx5w4', 'text': 'Guayabero Language'}, {'kb_id': 'm.02hwwxk', 'text': 'Cumeral Language'}, {'kb_id': 'm.07k4r10', 'text': 'Tinigua language'}, {'kb_id': 'm.0km3ztb', 'text': 'Nonuya language'}, {'kb_id': 'm.02hxs9_', 'text': 'Andoque Language'}, {'kb_id': 'm.06nm1', 'text': 'Spanish Language'}, {'kb_id': 'm.02hwvm1', 'text': 'Coxima Language'}, {'kb_id': 'm.02hxxcv', 'text': 'Andaqui Language'}]",guahibo language,m.02ppbb5,['m.0358'],what is the notable types of the kind of language colombia speak,"['m.06nm1', 'm.02pq8qn', 'm.0km3ztb', 'm.02hwqww', 'm.02hwvm1', 'm.02hwzld', 'm.02hxssc', 'm.02hxnf6', 'm.02hwwlp', 'm.02hxswb', 'm.02hwv8r', 'm.02hxb6s', 'm.0b7mcv', 'm.01yppj', 'm.02hwglw', 'm.06gdhz', 'm.02hx5w4', 'm.02hxhrz', 'm.02hx2tn', 'm.02hwgnw', 'm.02hxlpz', 'm.02hw_7r', 'm.02hxfkq', 'm.02hx8nb', 'm.02hwxgh', 'm.02ppbb5', 'm.02hxdfd', 'm.02hxp1v', 'm.02hxb1x', 'm.02hxsz8', 'm.02hxb4m', 'm.02hxy6v', 'm.02hxzv2', 'm.02hwgxh', 'm.02hwl4_', 'm.02hwl46', 'm.03h0wpt', 'm.02hxsy4', 'm.02hwmth', 'm.02hxdd2', 'm.02hwr84', 'm.02hwwxk', 'm.085vdy', 'm.02hwrvb', 'm.02hxds7', 'm.02hww1x', 'm.02hxs7q', 'm.02hwv5q', 'm.02hxf1r', 'm.02hxz2z', 'm.02hwzgg', 'm.02hxtwj', 'm.02hxh5f', 'm.03w6b4', 'm.02hx_dp', 'm.02hwt3q', 'm.09gpqdh', 'm.02ppbg9', 'm.02hxksk', 'm.02hx2q2', 'm.02hwxg4', 'm.02hxv46', 'm.09k4cp', 'm.02hxl2t', 'm.02hwpxb', 'm.025syhx', 'm.02hwzdd', 'm.0bm08x', 'm.02hwqrn', 'm.02hx0bf', 'm.02hwqkg', 'm.02hxxcv', 'm.02hwh2x']",NA
what the zip code for seattle washington,"[{'kb_id': 'm.05bdr2t', 'text': '98185'}, {'kb_id': 'm.03dyr6h', 'text': '98174'}, {'kb_id': 'm.020b572', 'text': '98109'}, {'kb_id': 'm.07npx26', 'text': '98132'}, {'kb_id': 'm.07npx32', 'text': '98114'}, {'kb_id': 'm.021hcw9', 'text': '98121'}, {'kb_id': 'm.021hbty', 'text': '98105'}, {'kb_id': 'm.07npx1_', 'text': '98138'}, {'kb_id': 'm.07npx0x', 'text': '98160'}, {'kb_id': 'm.07npx1s', 'text': '98139'}, {'kb_id': 'm.07npwzy', 'text': '98191'}, {'kb_id': 'm.021hcmf', 'text': '98102'}, {'kb_id': 'm.03dyr4r', 'text': '98146'}, {'kb_id': 'm.07npw_4', 'text': '98190'}, {'kb_id': 'm.021hd2k', 'text': '98107'}, {'kb_id': 'm.07npx13', 'text': '98158'}, {'kb_id': 'm.021j58x', 'text': '98154'}, {'kb_id': 'm.07npx00', 'text': '98175'}, {'kb_id': 'm.07npx1b', 'text': '98145'}, {'kb_id': 'm.021j5jr', 'text': '98164'}, {'kb_id': 'm.021hc0f', 'text': '98103'}, {'kb_id': 'm.021hc2t', 'text': '98104'}, {'kb_id': 'm.021hfsp', 'text': '98117'}, {'kb_id': 'm.021hjjq', 'text': '98119'}, {'kb_id': 'm.021hkxk', 'text': '98136'}, {'kb_id': 'm.021jq79', 'text': '98113'}, {'kb_id': 'm.021j82v', 'text': '98161'}, {'kb_id': 'm.021hh6h', 'text': '98199'}, {'kb_id': 'm.021hc4m', 'text': '98115'}, {'kb_id': 'm.07npw_l', 'text': '98184'}, {'kb_id': 'm.07npx2f', 'text': '98129'}, {'kb_id': 'm.021hdy8', 'text': '98125'}, {'kb_id': 'm.07npw_t', 'text': '98181'}, {'kb_id': 'm.021gykc', 'text': '98155'}, {'kb_id': 'm.07npx2w', 'text': '98124'}, {'kb_id': 'm.020r3kv', 'text': '98131'}, {'kb_id': 'm.03dyr54', 'text': '98148'}, {'kb_id': 'm.02wrtkc', 'text': '98195'}, {'kb_id': 'm.09sm_9r', 'text': '98119-4114'}, {'kb_id': 'm.07npx3j', 'text': '98111'}, {'kb_id': 'm.07npx0p', 'text': '98165'}, {'kb_id': 'm.021ghs6', 'text': '98168'}, {'kb_id': 'm.021g5dm', 'text': '98122'}, {'kb_id': 'm.021gkmr', 'text': '98198'}, {'kb_id': 'm.021hfvn', 'text': '98133'}, {'kb_id': 'm.021ghmz', 'text': '98166'}, {'kb_id': 'm.07npwzq', 'text': '98194'}, {'kb_id': 'm.07npx2n', 'text': '98127'}, {'kb_id': 'm.07npx0g', 'text': '98170'}, {'kb_id': 'm.021hc9v', 'text': '98101'}, {'kb_id': 'm.021jtyl', 'text': '98177'}, {'kb_id': 'm.021hcx9', 'text': '98144'}, {'kb_id': 'm.021hcn7', 'text': '98116'}, {'kb_id': 'm.021jn8d', 'text': '98178'}, {'kb_id': 'm.021hgpc', 'text': '98134'}, {'kb_id': 'm.021hmgb', 'text': '98106'}, {'kb_id': 'm.021hqp9', 'text': '98126'}, {'kb_id': 'm.07npx07', 'text': '98171'}, {'kb_id': 'm.07npx1k', 'text': '98141'}, {'kb_id': 'm.021hcpd', 'text': '98108'}, {'kb_id': 'm.021hnt8', 'text': '98118'}, {'kb_id': 'm.021hbk1', 'text': '98188'}, {'kb_id': 'm.021hbzb', 'text': '98112'}]",98181,m.07npw_t,['g.125bby940'],the the zip code for seattle washington is notable for what,"['m.021hc9v', 'm.021hc2t', 'm.021g5dm', 'm.021hcpd', 'm.020b572', 'm.021hbty', 'm.021hcw9', 'm.021hgpc', 'm.021hd2k', 'm.021hc4m', 'm.021jn8d', 'm.021hdy8', 'm.021hc0f', 'm.07npx2w', 'm.07npx07', 'm.07npx32', 'm.07npx0x', 'm.07npx2n', 'm.07npx00', 'm.07npwzq', 'm.07npx3j', 'm.07npwzy', 'm.02wrtkc', 'm.07npx1_', 'm.07npx0p', 'm.07npx1b', 'm.021j82v', 'm.05bdr2t', 'm.07npx1k', 'm.021jq79', 'm.07npx13', 'm.020r3kv', 'm.07npx26', 'm.07npw_t', 'm.07npx1s', 'm.07npw_4', 'm.07npx2f', 'm.07npw_l', 'm.07npx0g', 'm.021hh6h', 'm.021jtyl', 'm.021ghmz', 'm.021hnt8', 'm.021ghs6', 'm.03dyr6h', 'm.021j5jr', 'm.021hkxk', 'm.021j58x', 'm.021hcn7', 'm.021hbk1', 'm.021gkmr', 'm.03dyr54', 'm.021hmgb', 'm.021hfvn', 'm.021hcx9', 'm.03dyr4r', 'm.021hcmf', 'm.021hbzb', 'm.021hfsp', 'm.021gykc']",NA
what art movement did leonardo da vinci belong to,"[{'kb_id': 'm.01z__d', 'text': 'High Renaissance'}, {'kb_id': 'm.011nkkt6', 'text': 'Pastel Art'}]",parachute,m.0cyfs,['m.02jcrkd'],what is the notable types of the art movement leonardo da vinci belong to,"['m.0cyfs', 'm.0y8r', 'm.05my_3', 'm.011nkkt6', 'm.06msq', 'm.02csf', 'm.01z__d', 'm.012rm', 'm.0796wt', 'm.01w6mc', 'm.0w11hbh', 'm.0w11gwh', 'm.0w11h15']",SA
what is spoken in czech republic,"[{'kb_id': 'm.06b_j', 'text': 'Russian Language'}, {'kb_id': 'm.06zvx', 'text': 'Slovak Language'}, {'kb_id': 'm.05qqm', 'text': 'Polish Language'}, {'kb_id': 'm.013hyy', 'text': 'Rusyn Language'}, {'kb_id': 'm.01bkv', 'text': 'Bulgarian Language'}, {'kb_id': 'm.012psb', 'text': 'Romani language'}, {'kb_id': 'm.0k0sv', 'text': 'Croatian language'}, {'kb_id': 'm.02ztjwg', 'text': 'Hungarian language'}, {'kb_id': 'm.0cjk9', 'text': 'Ukrainian Language'}, {'kb_id': 'm.0k0sb', 'text': 'Serbian language'}, {'kb_id': 'm.01wgr', 'text': 'Czech Language'}, {'kb_id': 'm.04306rv', 'text': 'German Language'}, {'kb_id': 'm.0349s', 'text': 'Greek Language'}]",croatian language,m.0k0sv,"['m.06n20', 'm.03v09', 'm.03dr8x']",what is the language family of the is spoken in czech republic,"['m.01wgr', 'm.02ztjwg', 'm.04306rv', 'm.06zvx', 'm.0k0sv', 'm.0cjk9', 'm.0k0sb', 'm.05qqm', 'm.06b_j', 'm.012psb', 'm.013hyy']",FP
who is number 22 on miami dolphins,"[{'kb_id': 'm.0q3yxb2', 'text': 'Jamar Taylor'}]",afc north,m.068gzd,['m.0jm_'],what is the sport of number 22 on miami dolphins,"['m.068gyp', 'm.07szy']",SA
who did darth vaders voice,"[{'kb_id': 'm.0f6_x', 'text': 'James Earl Jones'}, {'kb_id': 'm.0b2l8f', 'text': 'Matt Lanter'}, {'kb_id': 'm.06wm0z', 'text': 'Zac Efron'}, {'kb_id': 'm.0945y8', 'text': 'Abraham Benrubi'}, {'kb_id': 'm.0113l6zy', 'text': 'Dr. Smoov'}]",david prowse,m.03xblf,['m.02h40lc'],what is the languages of the person did darth vaders voice,['m.02wszft'],SA
what the zip code for seattle washington,"[{'kb_id': 'm.05bdr2t', 'text': '98185'}, {'kb_id': 'm.03dyr6h', 'text': '98174'}, {'kb_id': 'm.020b572', 'text': '98109'}, {'kb_id': 'm.07npx26', 'text': '98132'}, {'kb_id': 'm.07npx32', 'text': '98114'}, {'kb_id': 'm.021hcw9', 'text': '98121'}, {'kb_id': 'm.021hbty', 'text': '98105'}, {'kb_id': 'm.07npx1_', 'text': '98138'}, {'kb_id': 'm.07npx0x', 'text': '98160'}, {'kb_id': 'm.07npx1s', 'text': '98139'}, {'kb_id': 'm.07npwzy', 'text': '98191'}, {'kb_id': 'm.021hcmf', 'text': '98102'}, {'kb_id': 'm.03dyr4r', 'text': '98146'}, {'kb_id': 'm.07npw_4', 'text': '98190'}, {'kb_id': 'm.021hd2k', 'text': '98107'}, {'kb_id': 'm.07npx13', 'text': '98158'}, {'kb_id': 'm.021j58x', 'text': '98154'}, {'kb_id': 'm.07npx00', 'text': '98175'}, {'kb_id': 'm.07npx1b', 'text': '98145'}, {'kb_id': 'm.021j5jr', 'text': '98164'}, {'kb_id': 'm.021hc0f', 'text': '98103'}, {'kb_id': 'm.021hc2t', 'text': '98104'}, {'kb_id': 'm.021hfsp', 'text': '98117'}, {'kb_id': 'm.021hjjq', 'text': '98119'}, {'kb_id': 'm.021hkxk', 'text': '98136'}, {'kb_id': 'm.021jq79', 'text': '98113'}, {'kb_id': 'm.021j82v', 'text': '98161'}, {'kb_id': 'm.021hh6h', 'text': '98199'}, {'kb_id': 'm.021hc4m', 'text': '98115'}, {'kb_id': 'm.07npw_l', 'text': '98184'}, {'kb_id': 'm.07npx2f', 'text': '98129'}, {'kb_id': 'm.021hdy8', 'text': '98125'}, {'kb_id': 'm.07npw_t', 'text': '98181'}, {'kb_id': 'm.021gykc', 'text': '98155'}, {'kb_id': 'm.07npx2w', 'text': '98124'}, {'kb_id': 'm.020r3kv', 'text': '98131'}, {'kb_id': 'm.03dyr54', 'text': '98148'}, {'kb_id': 'm.02wrtkc', 'text': '98195'}, {'kb_id': 'm.09sm_9r', 'text': '98119-4114'}, {'kb_id': 'm.07npx3j', 'text': '98111'}, {'kb_id': 'm.07npx0p', 'text': '98165'}, {'kb_id': 'm.021ghs6', 'text': '98168'}, {'kb_id': 'm.021g5dm', 'text': '98122'}, {'kb_id': 'm.021gkmr', 'text': '98198'}, {'kb_id': 'm.021hfvn', 'text': '98133'}, {'kb_id': 'm.021ghmz', 'text': '98166'}, {'kb_id': 'm.07npwzq', 'text': '98194'}, {'kb_id': 'm.07npx2n', 'text': '98127'}, {'kb_id': 'm.07npx0g', 'text': '98170'}, {'kb_id': 'm.021hc9v', 'text': '98101'}, {'kb_id': 'm.021jtyl', 'text': '98177'}, {'kb_id': 'm.021hcx9', 'text': '98144'}, {'kb_id': 'm.021hcn7', 'text': '98116'}, {'kb_id': 'm.021jn8d', 'text': '98178'}, {'kb_id': 'm.021hgpc', 'text': '98134'}, {'kb_id': 'm.021hmgb', 'text': '98106'}, {'kb_id': 'm.021hqp9', 'text': '98126'}, {'kb_id': 'm.07npx07', 'text': '98171'}, {'kb_id': 'm.07npx1k', 'text': '98141'}, {'kb_id': 'm.021hcpd', 'text': '98108'}, {'kb_id': 'm.021hnt8', 'text': '98118'}, {'kb_id': 'm.021hbk1', 'text': '98188'}, {'kb_id': 'm.021hbzb', 'text': '98112'}]",98168,m.021ghs6,['m.09c7w0'],what is the containedby of the the zip code for seattle washington,"['m.021hc9v', 'm.021hc2t', 'm.021hcpd', 'm.021hbty', 'm.021g5dm', 'm.020b572', 'm.021hcw9', 'm.021hgpc', 'm.07npx2w', 'm.07npx07', 'm.07npx32', 'm.07npx0x', 'm.07npx2n', 'm.07npx00', 'm.07npwzq', 'm.07npx3j', 'm.07npwzy', 'm.02wrtkc', 'm.07npx1_', 'm.07npx0p', 'm.07npx1b', 'm.021j82v', 'm.05bdr2t', 'm.07npx1k', 'm.021jq79', 'm.07npx13', 'm.020r3kv', 'm.07npx26', 'm.07npw_t', 'm.07npx1s', 'm.07npw_4', 'm.07npx2f', 'm.07npw_l', 'm.07npx0g', 'm.021hd2k', 'm.021hc4m', 'm.021jn8d', 'm.021hc0f', 'm.021hdy8', 'm.021hh6h', 'm.021jtyl', 'm.021ghmz', 'm.021hnt8', 'm.021ghs6', 'm.03dyr6h', 'm.021j5jr', 'm.021hkxk', 'm.021j58x', 'm.021hcn7', 'm.021hbk1', 'm.021gkmr', 'm.03dyr54', 'm.021hmgb', 'm.021hfvn', 'm.021hcx9', 'm.03dyr4r', 'm.021hcmf', 'm.021hbzb', 'm.021hfsp', 'm.021gykc']",NA
