Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
what is the smallest prime number that is greater than 30?,31,30,what is the minimum prime greater than 30?,r,TP
who plays letty in bring it on all or nothing?,Francia Raisa,cindy chiu,who plays lettie in the play? go all out or get nothing?,kirsten dunst,FP
when did wesley leave last of the summer wine?,2002,2006,when did wesley leave the last bottle of wine in the summer?,,TP
when was the public service commission original version of the upsc set up?,1-Oct-26,1935,when was the initial upsc version of the public service commission established?,1913,FP
where is each type of cartilage located in the body?,rib cage,rib cage,what is the position of each cartilage in the body?,lateral,TP
where is each type of cartilage located in the body?,rib cage,rib cage,what is the position of each cartilage in the body?,lateral,TP
where is each type of cartilage located in the body?,rib cage,rib cage,what is the position of each cartilage in the body?,lateral,TP
where is each type of cartilage located in the body?,rib cage,rib cage,what is the position of each cartilage in the body?,lateral,TP
where is each type of cartilage located in the body?,rib cage,rib cage,what is the position of each cartilage in the body?,lateral,TP
where is each type of cartilage located in the body?,rib cage,rib cage,what is the position of each cartilage in the body?,lateral,TP
when does the new season of el se?or de los cielos start?,May 8 2018,20-Jun-17,when will the new season of el seno or de los chilos start?,2-Nov-17,TP
what do they call snowboarders in johnny tsunami?,Urchins,urchins,"johnny, what's the name of the skier in the tsunami?",brett,FP
where are tight junctions found in the human body?,vertebrates,vertebrates,where are the tight connections in the human body?,cytoskeleton,TP
who is the old man in waiting on a woman?,Andy Griffith,andy griffith,who is the old man waiting for a woman?,norman,FP
who is charles off of pretty little liars?,Drake,rhys matthews,who are charles and the beautiful little liar?,charles,FP
who is charles off of pretty little liars?,Drake,rhys matthews,who are charles and the beautiful little liar?,charles,FP
5 types of control that could be programmed on a gui?,Spinner,"pointing stick, touchpad, trackball, joystick",five controls that can be programmed on gui?,,TP
5 types of control that could be programmed on a gui?,Spinner,"pointing stick, touchpad, trackball, joystick",five controls that can be programmed on gui?,,TP
5 types of control that could be programmed on a gui?,Spinner,"pointing stick, touchpad, trackball, joystick",five controls that can be programmed on gui?,,TP
5 types of control that could be programmed on a gui?,Spinner,"pointing stick, touchpad, trackball, joystick",five controls that can be programmed on gui?,,TP
5 types of control that could be programmed on a gui?,Spinner,"pointing stick, touchpad, trackball, joystick",five controls that can be programmed on gui?,,TP
who is the coach of arizona state men's basketball?,Bobby Hurley,robert matthew hurley,who is the coach of the arizona men's basketball team?,sean miller,TP
who directed one flew over the cuckoos nest?,Milo? Forman,milos forman,who commanded a plane flying over cuckoo's nest?,john samuel saunders,FP
in what year did japan attack pearl harbor?,1941,1941,when did japan attack pearl harbor?,7-Dec-41,FP
when is the show six coming back on?,28-May-18,9-Jun-18,when will you be back in episode 6?,12-Jun-18,FP
who does haruhi end up with in ouran highschool host club?,Tamaki,tamaki,who did chunhui finally join our high school host club with?,kyoya,FP
where is the new years eve concert held?,Westminster Central Hall,times square,where will the new year's eve concert be held?,santa barbara,TP
who controlled blue cross when it was formed?,1929,aha,who controlled the blue cross when it was founded?,london county council,TP
which type of triangle must have perpendicular lines?,a right triangle,isosceles triangle,which triangle must have a vertical line?,'',TP
how much does an arleigh burke destroyer cost?,US $1.843 billion,us $ 1 billion,how much does an aleppo destroyer cost?,us $ 1.2 billion,TP
when does fairy tail dragon cry come out in canada?,14-Aug-17,17-Aug,when did the call of fairy tailed dragon appear in canada?,17-Aug-17,FP
who has the most hundreds in test cricket?,Australia,donald bradman,who scored the most on the cricket test?,sachin tendulkar,FP
where did the doctrine of once saved always saved come from?,1689,swedenborg,where does the theory that one salvation is always saved come from?,perseverance of the saints,TP
when did piracy hit its apex in the caribbean?,1660s to 1730s,the mid - 17th century,when did piracy peak in the caribbean?,mid - 18th century,FP
when did the last episode of hunter x hunter air?,27-Oct-18,23-Sep-14,when was the last episode of hunter x hunter air aired?,1-Jul-18,FP
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
dwarfs in snow white and the huntsman movie?,Ray Winstone,rob brydon,the dwarf in snow white and the hunter?,nick frost,TP
