Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
what was the name of the team that won the 2008 fifa club world cup final championship?,"[{'kb_id': 'm.05l1ffz', 'text': 'Newton Heath L&YR F.C.'}]","['m.050fh', 'm.04gk9y8', 'm.047dtqb', 'm.03whkym', 'm.03wd8ks', 'm.047cjk2', 'm.04f383p', 'm.0gxvd8', 'm.05l1ffz', 'm.03qcsg9', 'm.04nv1b', 'm.04n0w_n', 'm.04lftlm', 'm.047gmdy', 'm.04ygv1d', 'm.0czz3g', 'm.06w1fnk', 'm.0j26g36', 'm.05b4r0v', 'm.02rwdjv', 'm.02qjps3', 'm.02pr48h']",what was the name of the team that won the 2008 fifa club world cup last championship?,"['m.050fh', 'm.04gk9y8', 'm.047dtqb', 'm.03whkym', 'm.03wd8ks', 'm.047cjk2', 'm.04f383p', 'm.0gxvd8', 'm.03qcsg9', 'm.04nv1b', 'm.04n0w_n', 'm.04lftlm', 'm.047gmdy', 'm.04ygv1d', 'm.0czz3g', 'm.06w1fnk', 'm.0j26g36', 'm.05b4r0v', 'm.02rwdjv', 'm.02qjps3', 'm.02pr48h', 'm.0266flf']",TP
which country that is situated in the asean common time zone has the largest population?,"[{'kb_id': 'm.03rk0', 'text': 'India'}]","['m.0d05w3', 'm.05k3k', 'm.06f32', 'm.03rk0', 'm.03spz', 'm.016zwt', 'm.07f1x', 'm.05l8y', 'm.0j1z8', 'm.03_3d', 'm.01crd5', 'm.04w8f', 'm.03ryn', 'm.01xbgx', 'm.04xn_', 'm.04hhv', 'm.07bxhl', 'm.06m_5', 'm.01z215', 'm.01c4pv', 'm.02lx0', 'm.05b7q', 'm.01z88t', 'm.0d05q4', 'm.0161c', 'm.047yc', 'm.0697s', 'm.08d6nx', 'm.03__y', 'm.04ty8', 'm.01lff', 'm.03shp', 'm.06t2t', 'm.0167v', 'm.0162b', 'm.03h64', 'm.07dvs', 'm.0jdd', 'm.05sb1', 'm.09pmkv', 'm.07t_x']",which country that is situated in the asean common time zone has the turgid population?,"['m.0d05w3', 'm.05k3k', 'm.03rk0', 'm.07f1x', 'm.06f32', 'm.03_3d', 'm.05l8y', 'm.0j1z8', 'm.03spz', 'm.016zwt', 'm.01crd5', 'm.04w8f', 'm.01xbgx', 'm.04xn_', 'm.04hhv', 'm.07bxhl', 'm.03ryn', 'm.06m_5', 'm.01z215', 'm.03__y', 'm.01c4pv', 'm.02lx0', 'm.05b7q', 'm.01z88t', 'm.0d05q4', 'm.0161c', 'm.047yc', 'm.0697s', 'm.04ty8', 'm.03shp', 'm.0167v', 'm.06t2t']",TP
what colleges did the famous person who went to castlemont high school go to?,"[{'kb_id': 'm.01jt2w', 'text': 'Temple University'}, {'kb_id': 'm.0gy5x53', 'text': 'Castlemont High School'}]",['m.01n7q'],what colleges did the illustrious person who went to castlemont mellow school go to?,"['m.01n7q', 'm.09c7w0']",FP
which of the seven central american countries had co2 emissions per capita once of 2009 metric ton?,"[{'kb_id': 'm.0164b', 'text': 'Belize'}, {'kb_id': 'm.01p8s', 'text': 'Costa Rica'}, {'kb_id': 'm.02k8k', 'text': 'El Salvador'}, {'kb_id': 'm.0345_', 'text': 'Guatemala'}, {'kb_id': 'm.03h2c', 'text': 'Honduras'}, {'kb_id': 'm.05qx1', 'text': 'Panama'}]","['m.05qx1', 'm.03h2c', 'm.0164b', 'm.0345_', 'm.01p8s', 'm.02k8k', 'm.05c74', 'm.0b90_r', 'm.0d04z6', 'm.0162v', 'm.0jgd', 'm.0165v', 'm.01p1v', 'm.0d060g', 'm.05r7t', 'm.015fr', 'm.07ylj', 'm.06s0l', 'm.03gyl', 'm.027rn', 'm.06ryl', 'm.016wzw', 'm.027nb', 'm.06s6l']",which of the seven fundamental american countries had co2 emissions per capita once of 2009 metrical ton?,"['m.05qx1', 'm.03h2c', 'm.0345_', 'm.0164b', 'm.01p8s', 'm.02k8k', 'm.05c74', 'm.0b90_r', 'm.0d04z6', 'm.0162v', 'm.0jgd', 'm.0165v', 'm.01p1v', 'm.0d060g', 'm.07ylj', 'm.05r7t', 'm.015fr', 'm.06s0l', 'm.016wzw', 'm.05v10', 'm.07twz', 'm.027rn', 'm.03gyl']",FP
which location in the anadyr timezone has the biggest population?,"[{'kb_id': 'm.03rk0', 'text': 'India'}]","['m.03h64', 'm.0d05w3', 'm.05k3k', 'm.03rk0', 'm.03spz', 'm.016zwt', 'm.07f1x', 'm.06f32', 'm.0j1z8', 'm.03_3d', 'm.03ryn', 'm.05l8y', 'm.04thp', 'm.04w8f', 'm.047lj', 'm.06m_5', 'm.01crd5', 'm.01xbgx', 'm.04xn_', 'm.04hhv', 'm.07bxhl', 'm.06t2t', 'm.03__y', 'm.01z215', 'm.01z88t', 'm.0d05q4', 'm.0161c', 'm.047yc', 'm.0697s', 'm.05b7q', 'm.04ty8', 'm.01c4pv', 'm.02lx0', 'm.0167v', 'm.03shp']",which location in the anadyr timezone has the enceinte population?,"['m.0d05w3', 'm.05k3k', 'm.0y497tt', 'm.08d6nx', 'm.03plfd', 'm.03h64', 'm.0y496qm', 'm.0y4ds30', 'g.1224z91_', 'm.043wfcz', 'm.0dy7xw', 'm.0y498pq', 'm.0269jsg', 'm.0y4dztc', 'm.019zjx', 'm.047sp2s', 'm.0y4970s', 'm.0y49cjm', 'm.0y49bpk', 'm.03rk0', 'm.05zjdbd', 'm.05zt92k', 'm.0dh43y', 'm.03nmg3d', 'm.05c54bd', 'm.04g13p_', 'm.03spz', 'm.043wfc5', 'm.04qqww', 'm.05b_8pf', 'm.063w6x', 'm.0y48cqk', 'm.0y4dzzg', 'm.0y4dz__', 'm.0y4d_3h', 'm.0y4d_5d', 'm.0y49bwc', 'm.0y4993n', 'm.0c025rk', 'm.0y4dqbg', 'm.016zwt', 'm.05l8y', 'm.07f1x', 'm.0j1z8', 'm.03_3d', 'm.06f32', 'm.052vwh', 'm.06t2t', 'm.06m_5', 'm.01crd5', 'm.03ryn', 'm.0y49bkq', 'm.0bzt6c', 'm.04w8f', 'm.01xbgx', 'm.04xn_', 'm.04hhv', 'm.07bxhl', 'm.03__y', 'm.04thp', 'm.047lj', 'm.01z215', 'm.09z5lx', 'm.01z88t', 'm.0d05q4', 'm.0161c', 'm.047yc', 'm.0697s', 'm.03yth0q', 'm.02k8gd', 'm.07yfn_', 'm.019rdm']",TP
"what is considered modern in the country where bilady, bilady, bilady language is the national anthem?","[{'kb_id': 'm.025rvv7', 'text': 'Modern Standard Arabic'}]","['m.0jzc', 'm.03wc2kf', 'm.035t_3', 'm.02hx2cr']","what is considered new in the country where bilady, bilady, bilady language is the internal anthem?","['m.09jwl', 'm.0nbcg', 'm.09l65', 'm.02hx2cr', 'm.035t_3', 'm.03wc2kf']",TP
what country located in the greenwich mean time zone that is the main trading partner of china?,"[{'kb_id': 'm.06s_2', 'text': 'Sierra Leone'}]","['m.027jk', 'm.016zwt', 'm.07t_x', 'm.06s_2', 'm.06tw8', 'm.0j4b', 'm.0h3y', 'm.01z88t', 'm.0ctw_b', 'm.04sj3', 'm.04hhv']",what country located in the greenwich mean time zone that is the primary trading partner of china?,"['m.027jk', 'm.016zwt', 'm.07t_x', 'm.06s_2', 'm.06tw8', 'm.0h3y', 'm.0j4b', 'm.01z88t', 'm.04sj3', 'm.0ctw_b', 'm.07fsv']",TP
what type of religiong with a religious sacred site of lumbini is in the united states?,"[{'kb_id': 'm.092bf5', 'text': 'Buddhism'}]",['m.092bf5'],what type of religiong with a spiritual sanctified site of lumbini is in the united states?,"['m.016zwt', 'm.0j729']",TP
which was the earliest president during ww2 in the united states?,"[{'kb_id': 'm.02yy8', 'text': 'Franklin D. Roosevelt'}]","['m.09bg4l', 'm.02yy8', 'm.038w8', 'm.03_js', 'm.0f7fy']",which was the early president during ww2 in the united states?,"['m.09bg4l', 'm.02yy8', 'm.038w8', 'm.03_js', 'm.083q7']",TP
what are the official languages of used in the country that uses ukrainian hyrvnia?,"[{'kb_id': 'm.012v8', 'text': 'Albanian language'}, {'kb_id': 'm.019yz7', 'text': 'Tatar Language'}, {'kb_id': 'm.01h2j_', 'text': 'Moldovan language'}, {'kb_id': 'm.02hxc3j', 'text': 'Romanian Language'}, {'kb_id': 'm.02ztjwg', 'text': 'Hungarian language'}, {'kb_id': 'm.06b_j', 'text': 'Russian Language'}, {'kb_id': 'm.0cjk9', 'text': 'Ukrainian Language'}]","['m.0cjk9', 'm.02hxc3j', 'm.06b_j', 'm.019yz7', 'm.02ztjwg']",what are the prescribed languages of used in the country that uses ukrainian hyrvnia?,"['m.0cjk9', 'm.02hxc3j', 'm.012v8', 'm.019yz7', 'm.02ztjwg', 'm.06b_j', 'm.01h2j_']",TP
