Source Question,Ground Truth,Source Answer,Source Answer ID,Target Answer ID,New Question,New Answer ID,Inspection Conclusion
What are the names of the Walt Disney kids who died in Santa Monica?,"[{'kb_id': 'm.07kyh5', 'text': 'Sharon Mae Disney'}]",orphan's benefit,m.01j5r0,"['m.09b3v', 'm.04rcl7', 'm.01795t']",what is the production companies of the names of the Walt Disney kids who died in Santa Monica,"['m.015yg9', 'm.0k5mc', 'm.015xg2', 'm.057ph', 'm.0gy738g', 'm.0gy7442', 'm.0fq8ws', 'm.07kyh5', 'm.03hfstp', 'm.0f2ml', 'm.064ndq', 'm.0b1ywz', 'm.0465blv', 'm.0gy6vnr', 'm.09889g', 'm.07k55vt', 'm.0bjqh', 'm.01_1p3', 'm.08nqgk', 'm.04wprc', 'm.03y893b', 'm.0gys7n3', 'm.01j5r0', 'm.0b1yq2', 'm.011f5scv', 'm.02nj20', 'm.03y4hh_', 'm.0k5j9', 'm.011f5r9v', 'm.0gxv2w', 'm.0hhphqm', 'm.03y0pn', 'm.06zq46p', 'm.05nlx4', 'm.018wng', 'm.09v8clw', 'm.054ky1', 'm.0jysg', 'm.07g7lb', 'm.0ly_w21', 'm.03m61v2', 'm.054rdz', 'm.027tcvt', 'm.06zsrwp']",FP
What is the type of goverment in the place where the Peruviana Hairless Dog originated?,"[{'kb_id': 'm.01d9r3', 'text': 'Presidential system'}, {'kb_id': 'm.01fpfn', 'text': 'Unitary state'}, {'kb_id': 'm.06cx9', 'text': 'Republic'}, {'kb_id': 'm.0c9rw5', 'text': 'Constitutional republic'}]",cesky fousek,m.0fgh8v,"['m.04kpjnr', 'm.04kr4vb', 'm.04kt7km', 'm.04m1qsb', 'm.04mn9b6', 'm.04lcy3h']",what is the temperament of the type of goverment in the place where the Peruviana Hairless Dog originated,"['m.05spljf', 'm.05splm8', 'm.05splnc', 'm.05spllv', 'm.05splp7', 'm.05splgx', 'm.05spln4', 'm.05splp0', 'm.05splqb', 'm.05splmq', 'm.05splrm', 'm.05spljn', 'm.05splqk', 'm.05splqr', 'm.05splmh', 'm.05splqz', 'm.05spljw', 'm.08s0ws', 'm.03j7p3', 'm.0fgh8v', 'm.03vgc4', 'm.03g_78s', 'm.01przn', 'm.08f_zh', 'm.03jjm4', 'm.0gvx7', 'm.01p2dp', 'm.01p2lr', 'm.01z404', 'm.03ysz', 'm.0y7vqx3', 'm.0y7vr8t', 'm.0y7vrk_', 'm.02kw9d', 'm.01j7n4', 'm.01hzb8', 'm.05splkj', 'm.0ljl8', 'm.06g210', 'm.04xx17', 'm.03cq_p', 'm.06v_sc', 'm.0622q7', 'm.03yff_n', 'm.05qgc4', 'm.03b6hk', 'm.076_8', 'm.049jr6', 'm.0285t83', 'm.02cj3', 'm.01cx_v', 'm.02d6dsf', 'm.071jj', 'm.02kfwr', 'm.074g8y', 'm.03gt33k', 'm.03gymyk']",SA
What did Martin Luther do where he stopped leading a religious organization earlier than 27 March 1993?,"[{'kb_id': 'm.05xjb', 'text': 'Priest'}]",martin luther university of halle-wittenberg,m.035yzw,['m.0h6mnq5'],what is the phone number of Martin Luther do where he stopped leading a religious organization earlier than 27 March 1993,"['m.042x_', 'm.045m1_', 'm.02rpq', 'm.05sfs', 'm.0m1wd', 'm.041yl', 'm.046f1', 'm.0c8wxp', 'm.04pk9', 'm.07hp5', 'm.035yzw']",SA
What influenced the author of Street Scene to write poetry?,"[{'kb_id': 'm.085gk', 'text': 'Walt Whitman'}]",walt whitman,m.085gk,['m.0101mkct'],the thing influenced the author of Street Scene to write poetry is subject of what,['m.085gk'],NA
What river runs through Phoenix and what other states does it flow through?,"[{'kb_id': 'm.01n4w', 'text': 'Colorado'}, {'kb_id': 'm.01n7q', 'text': 'California'}, {'kb_id': 'm.059_c', 'text': 'Nevada'}, {'kb_id': 'm.0vmt', 'text': 'Arizona'}]",mesa arts center,m.0cggr1,"['m.0qpn9', 'm.0d35y']",what is the near travel destination of the river What river,"['m.0cns5', 'm.0cggr1', 'm.056wfy', 'm.0k2myn3', 'm.0d3hj6', 'm.06_2xlx', 'm.03qmw7r']",SA
What shows feature Tamera Mowry and have only one season?,"[{'kb_id': 'm.02rr9jc', 'text': 'Detention'}, {'kb_id': 'm.05h2jn_', 'text': 'Roommates'}, {'kb_id': 'm.08lsjw', 'text': 'The Adventures of Hyperman'}]",the adventures of hyperman,m.08lsjw,['m.02h40lc'],what is the languages of the thing feature Tamera Mowry and have only one season,"['m.0h2b2lm', 'm.0h2b2ld', 'm.05n5lqz', 'm.0dg9y03', 'm.0fjtx7', 'm.0h2b2l5']",NA
"What super bowls were won by the Giants prior to February 5, 2012?","[{'kb_id': 'm.04myq1', 'text': 'Super Bowl XXI'}, {'kb_id': 'm.076v7', 'text': 'Super Bowl XXV'}, {'kb_id': 'm.076sw', 'text': 'Super Bowl XLII'}]",2008 nfc championship game,m.0_gv20x,['m.05df7k'],"what is the instance of recurring event of the super bowls were won by the Giants prior to February 5, 2012","['m.043t_rh', 'm.076v7', 'm.0j34j42', 'm.04myq1', 'm.076sw', 'm.0_gv20x', 'm.0_gv23p', 'm.02666j8']",SA
What Portuguese speaking country that has emissions per capita of 0.028831 metric ton?,"[{'kb_id': 'm.036b_', 'text': 'Guinea-Bissau'}]",timor-leste,m.02lx0,"['m.0ds3wqc', 'm.0kvkrqr', 'm.0ds4_sh', 'm.02vwjcw', 'm.0dsd7k9', 'm.02w4b3', 'm.0j3ns3q', 'm.01319chv', 'm.0drydzk', 'm.0jkxx_9', 'm.0ds8n6r', 'm.0131jyv9', 'm.0kl0l93', 'm.0gty058', 'm.013183cm', 'm.0j53ls0', 'm.02r7w44', 'm.0dgqjlx', 'm.01281ch3', 'm.012smrv6', 'm.02rwzv4', 'm.04cyt90', 'm.0kg3fp9', 'm.04cy7fr', 'm.03chycp']",who is the people born here of the Portuguese speaking country that has emissions per capita of 0.028831 metric ton,"['m.015fr', 'm.0hg5', 'm.04wlh', 'm.0d05w3', 'm.0j4b', 'm.05r4w', 'm.036b_', 'm.02lx0']",SA
What Ron Howard film was released first?,"[{'kb_id': 'm.09gf7yk', 'text': 'The Journey'}]",the dilemma,m.0c3_662,"['m.0gxblq3', 'm.05p553', 'm.0gw5nxs']",what is the netflix genres of the Ron Howard film was released first,"['m.0crrc8', 'm.09m6kg', 'm.02mh4b', 'm.01hw5kk', 'm.02_1sj', 'm.06xz7w', 'm.04ynx7', 'm.02yf34', 'm.0134tnr7', 'm.050gkf', 'm.0f4_2k', 'm.0dgkzwj', 'm.011yd2', 'm.034bm_', 'm.01vd7y', 'm.02rylzd', 'm.047nfz', 'm.02t9_q', 'm.0crwz48', 'm.06zsyy6', 'm.0hv8w', 'm.0gxdf11', 'm.079h70', 'm.0crjcw1', 'm.06rqp_', 'm.03r58n', 'm.05y48m', 'm.0cc5m07', 'm.04d_tqm', 'm.02vqsll', 'm.0c3_662', 'm.0b7b2_b', 'm.09gf7yk', 'm.09hfyy', 'm.01xvjb', 'm.0b66flr', 'm.069ym_', 'm.03xx0x', 'm.05h3bcc', 'm.0cqnss', 'm.065dc4', 'm.0xnx1p3', 'm.0ngnf3x']",FP
What is Miley Cyrus' most recently distributed film?,"[{'kb_id': 'm.010ls0tb', 'text': 'Miley Cyrus: Tongue Tied'}]",hannah montana: the movie,m.02x3lt7,['m.030qb3t'],what is the featured film locations of Miley Cyrus' most recently distributed film,"['m.06fcqw', 'm.080gfc8', 'm.0g56xqy', 'm.0crsmk2', 'm.064qvcw', 'm.0bc5ny', 'm.07ykkx5', 'm.05h43ls', 'm.02x3lt7', 'm.0cs2t3x', 'm.0cmddrx', 'm.027pfg', 'm.010ls0tb']",SA
