Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
what country bordering france contains an airport that serves nijmegen?,"[{'kb_id': 'm.0345h', 'text': 'Germany'}]","['m.0345h', 'm.059j2', 'm.0154j']",which country bordering france has an airport for nemegan?,"['m.0345h', 'm.0154j']",TP
the national anthem afghan national anthem is from the country which practices what religions?,"[{'kb_id': 'm.06pq6', 'text': 'Shia Islam'}, {'kb_id': 'm.078tg', 'text': 'Sunni Islam'}]","['m.03v09', 'm.099n91', 'm.03rmp']",national anthem what religion does the national anthem of afghanistan come from?,"['m.05sb1', 'm.03v09', 'm.03rmp']",FP
"which man is the leader of the country that uses libya, libya, libya as its national anthem?","[{'kb_id': 'm.0_ymzsm', 'text': 'Abdullah al-Thani'}]","['m.0_ymzsm', 'm.0dxvs', 'm.026slms', 'm.026slrk', 'm.0gh76k6', 'm.0gjbh05']","who is the leader of a country whose national anthem is libya, libya and libya?","['m.0_ymzsm', 'm.0dxvs', 'm.026slms', 'm.026slrk', 'm.0gh76k6', 'm.0gjbh05', 'm.0hglttd']",TP
"what educational institution has a football sports team named northern colorado bears is in greeley, colorado?","[{'kb_id': 'm.01_k7f', 'text': 'University of Northern Colorado'}]","['m.01_k7f', 'm.01n4w']","which educational institution has a football team called the north colorado bear in greeley, colorado?",['m.01_k7f'],TP
"in which countries do the people speak portuguese, where the child labor percentage was once 1.8?","[{'kb_id': 'm.04wlh', 'text': 'Mozambique'}]","['m.015fr', 'm.0hg5', 'm.04wlh', 'm.0j4b', 'm.02lx0', 'm.05r4w', 'm.0d05w3', 'm.036b_']","which countries speak portuguese, where the proportion of child labour used to be 1.8?","['m.05r4w', 'm.015fr', 'm.02lx0', 'm.04wlh', 'm.0d05w3', 'm.0j4b']",TP
which globe region with the utca??05:00 time zone does the dominican republic call home?,"[{'kb_id': 'm.01rll_', 'text': 'Greater Antilles'}]","['m.059g4', 'm.07c5l', 'm.04pnx']","which time zone does the dominican republic call utc ¨C 05:00, a global region, home?","['m.02fqwt', 'm.042g7t']",FP
what was the name of the team that won the 2008 fifa club world cup final championship?,"[{'kb_id': 'm.05l1ffz', 'text': 'Newton Heath L&YR F.C.'}]","['m.050fh', 'm.04gk9y8', 'm.047dtqb', 'm.03whkym', 'm.03wd8ks', 'm.047cjk2', 'm.04f383p', 'm.0gxvd8', 'm.05l1ffz', 'm.03qcsg9', 'm.04nv1b', 'm.04n0w_n', 'm.04lftlm', 'm.047gmdy', 'm.04ygv1d', 'm.0czz3g', 'm.06w1fnk', 'm.0j26g36', 'm.05b4r0v', 'm.02rwdjv', 'm.02qjps3', 'm.02pr48h']",what is the name of the team that won the fifa club world cup final in 2008?,"['m.050fh', 'm.043cq6', 'm.04gk9y8', 'm.05l1ffz', 'm.047dtqb', 'm.03whkym', 'm.03wd8ks', 'm.047cjk2', 'm.04f383p', 'm.0gxvd8', 'm.03qcsg9', 'm.065r21n', 'm.02nsyh9', 'm.04nv1b', 'm.04n0w_n', 'm.04lftlm', 'm.047gmdy', 'm.04ygv1d', 'm.0czz3g']",TP
which of jfk's brother held the latest governmental position?,"[{'kb_id': 'm.06hx2', 'text': 'Robert F. Kennedy'}]","['m.06hx2', 'm.0194xc', 'm.02shr7', 'm.04f1qs', 'm.0bt9c', 'm.028qh_', 'm.020t1x', 'm.04f1nm']",which of kennedy's brothers holds the latest government position?,"['m.06hx2', 'm.0194xc', 'm.02shr7', 'm.04f1qs', 'm.0bt9c', 'm.020t1x', 'm.028qh_']",FP
what group fought in the battle of vicksburg that was based in montgomery?,"[{'kb_id': 'm.020d5', 'text': 'Confederate States of America'}]","['m.05dzy9w', 'm.069vxk']",which organization fought in montgomery during the battle of vicksburg?,['m.05dzy9w'],FP
which country that is situated in the asean common time zone has the largest population?,"[{'kb_id': 'm.03rk0', 'text': 'India'}]","['m.0d05w3', 'm.05k3k', 'm.06f32', 'm.03rk0', 'm.03spz', 'm.016zwt', 'm.07f1x', 'm.05l8y', 'm.0j1z8', 'm.03_3d', 'm.01crd5', 'm.04w8f', 'm.03ryn', 'm.01xbgx', 'm.04xn_', 'm.04hhv', 'm.07bxhl', 'm.06m_5', 'm.01z215', 'm.01c4pv', 'm.02lx0', 'm.05b7q', 'm.01z88t', 'm.0d05q4', 'm.0161c', 'm.047yc', 'm.0697s', 'm.08d6nx', 'm.03__y', 'm.04ty8', 'm.01lff', 'm.03shp', 'm.06t2t', 'm.0167v', 'm.0162b', 'm.03h64', 'm.07dvs', 'm.0jdd', 'm.05sb1', 'm.09pmkv', 'm.07t_x']",which country in the asean common time zone has the largest population?,"['m.0d05w3', 'm.03rk0', 'm.07f1x', 'm.05l8y', 'm.0j1z8', 'm.016zwt', 'm.03_3d', 'm.03spz', 'm.01crd5', 'm.06f32', 'm.01xbgx', 'm.04xn_', 'm.04hhv', 'm.07bxhl', 'm.04w8f', 'm.06m_5', 'm.03ryn', 'm.03__y', 'm.01z215', 'm.04ty8', 'm.01c4pv', 'm.02lx0', 'm.05b7q', 'm.01z88t', 'm.0d05q4', 'm.0161c', 'm.047yc', 'm.0697s', 'm.06t2t', 'm.03shp', 'm.0167v', 'm.0162b', 'm.07dvs', 'm.0jdd', 'm.05sb1', 'm.09pmkv']",TP
