Source Question,Ground Truth,Source Answer,Extra Information,Target Answer,New Question,New Answer,Semantic Similarity Score - Detail,Average,Inspection Conclusion
who sang seasons in the sun before westlife?,Rod McKuen,terry jacks,it became a worldwide hit in 1974 for canadian singer terry jacks and became a christmas number one in the uk in 1999 for westlife .,yes,Did it become a worldwide hit in 1974 for canadian singer the person sang seasons in the sun before westlife and became a christmas number one in the uk in 1999 for westlife?,terry jacks,0.3272706,[0.3272706],SA
what part of the carrot is the seed?,mericarp,commissural side,mature seeds are flattened on the commissural side that faced the septum of the ovary .,yes,Are mature seeds flattened on the part of the carrot that is the seed that faced the septum of the ovary?,commissural,0.18151847,[0.18151847],SA
who do the raiders share a field with?,Oakland Athletics,the broncos,broncos 每 raiders rivalry the broncos 每 raiders rivalry is a rivalry between the denver broncos and oakland raiders in the national football league ' s afc west division .,yes,Is broncos 每 raiders rivalry the person the raiders share a field with 每 raiders rivalry a rivalry between the denver broncos and oakland raiders in the national football league' s afc west division?,broncos,0.21248057,[0.21248057],SA
who is the narrator in the grinch movie?,Anthony Hopkins,the grinch,he acquires a fat reindeer whom he calls fred to help him pull a sleigh that he stole from - - the grinch ( film ) - is puzzled to see that they are celebrating christmas despite his theft .,yes,Does he acquire a fat reindeer whom he calls fred to help him pull a sleigh that he stole from - - the narrator in the grinch movie (film) - is puzzled to see that they are celebrating christmas despite his theft?,the grinch,0.2819577,[0.2819577],SA
what did pryzm nottingham used to be called?,Palais de Danse,palais de danse,the building was constructed by the midland palais de danse company and opened as a dance hall and billiard saloon under the name palais de danse .,yes,Was the building constructed by the midland the thing did pryzm nottingham used to be called company and opened as a dance hall and billiard saloon under the name the thing did pryzm nottingham used to be called?,palais de danse,0.23320328,[0.23320328],NA
what is the saltiest body of water on earth?,Gaet'ale Pond,the dead sea,probably the best - known hypersaline lakes are the dead sea ( 34 .,yes,Are probably the best - known hypersaline lakes the saltiest body of water on earth (34?,the dead sea,0.35026133,[0.35026133],SA
who are the justices of the nc supreme court?,Michael R. Morgan,neil gorsuch,president donald trump ' s nomination of neil gorsuch to the seat left vacant by antonin scalia ' s death was the second .,yes,Was president donald trump' s nomination of the justices of the nc supreme court to the seat left vacant by antonin scalia' s death the second?,neil gorsuch,0.3093929,[0.3093929],SA
what is the chemical formula of epsom salt?,MgSO 7H O,magnesium sulfate,anhydrous magnesium sulfate was reported from some burning coal dumps .,yes,Was anhydrous chemical formula of epsom salt reported from some burning coal dumps?,magnesium sulfate,0.19231534,[0.19231534],SA
who won pairs figure skating in olympics 2018?,Aliona Savchenko and Bruno Massot,aliona savchenko,aliona savchenko and bruno massot became olympic champions after finishing fourth in the short program and setting a record with their score in the free program .,yes,Did the person won pairs figure skating in olympics 2018 and bruno massot become olympic champions after finishing fourth in the short program and setting a record with their score in the free program?,aliona savchenko,0,[0],NA
what is the most played song ever on spotify?,Shape of You,one dance,""" one dance "" was the best - performing single worldwide of 2016 and is one of the best - selling singles of all - time .",yes,Was " the most played song ever on spotify " the best - performing single worldwide of 2016 and is one of the best - selling singles of all - time?,one dance,0.37791583,[0.37791583],SA
what is the speed limit through the hindhead tunnel?,70 mph,30 mph,the 30 mph ( 48 km / h ) speed limit in built - up areas was introduced in 1934 in response,yes,Was the speed limit through the hindhead tunnel (48 km / h) speed limit in built - up areas introduced in 1934 in?,30 mph,0.17989706,[0.17989706],SA
who sings we are the world in order?,Michael Jackson,lionel richie,it was written by michael jackson and lionel richie and produced by quincy jones for the album " we are the world " .,yes,Was it written by michael jackson and the person sings we are the world in order and produced by quincy jones for the album " we are the world "?,lionel richie,0.35747504,[0.35747504],SA
what does march of dimes raise money for?,community programs,the health of all moms and babies,march of dimes march of dimes is a united states nonprofit organization that works to improve for the health of all moms and babies .,yes,Is march of dimes march of dimes a united states nonprofit organization that works to improve for the thing march of dimes raise money for?,the health of all moms and babies,0.2648568,[0.2648568],SA
