Source Question,Ground Truth,Source Answer,New Question,New Answer,Inspectation Conclusion
how are the certain costs which are difficult to avoid shared?,by everyone,by everyone,how to share some unavoidable costs?,no answer>,TP
"when people take on debt, it leads potentially to what?",economic instability,economic instability,what happens when people borrow money?,leads to even greater inequality and potential economic instability.,TP
why do some people chose to go to jail for their disobedience?,a way of continuing their protest,reminding their countrymen of injustice,why do some people choose to go to jail because they don't accept it?,no answer>,FP
going to jail accomplished what goal of civil disobedience?,reminding their countrymen of injustice,continuing their protest,what is the goal of civil disobedience achieved by imprisonment?,no answer>,TP
what type of musical instruments did the yuan bring to china?,Western,western,what kind of musical instruments has rmb brought to china?,no answer>,FP
what type of practices did the yuan reintroduce in government?,Confucian,confucian,what kind of practice has the rmb reintroduced into the government?,no answer>,FP
what type of practices did the yuan introduce in government?,<No Answer>,confucian,what has the rmb done in the government?,no answer>,FP
as a euphoric how is oxygen used in bars?,recreational,recreational,"as a pleasure, how do bars use oxygen?",no answer>,FP
what type of exercise does research show receives a boost in performance from oxygen?,aerobic,aerobic,research shows that what kind of exercise can improve sports performance from oxygen?,aerobic exercise,TP
what is considered to be a recreational euphoric?,<No Answer>,oxygen,what is considered an entertainment pleasure?,no answer>,TP
where have oxygen bars been since 1990?,<No Answer>,"japan, california, and las vegas, n",where has the oxygen stick been since 1990?,no answer>,FP
what type of pharmacological effect is most likely an explanation for the "boost" from oxygen?,<No Answer>,no answer>,what pharmacological action is most likely to explain the "promoting effect" of oxygen?,placebo,TP
what goal does islamism have when it comes to society and government?,reordering,reordering,what are the social and governmental goals of islamism?,reordering of government and society in accordance with the shari'a,FP
what have the two different islamist movements been described as oscillating between?,poles,two poles,what are the two different islamic movements described as swinging between?,no answer>,TP
what does obersee mean?,upper lake,upper lake,what does obersey mean?,no answer>,TP
"besides germany and switzerland, where else is lake constance?",Austria,austria,where is lake constance except germany and switzerland?,no answer>,TP
lake constance separates the german state bavaria from what other one?,Baden-W¨¹rttemberg,baden-w¨¹rttemberg,lake constance separates bavaria from other states in germany?,no answer>,FP
in what country was a full-scale working railway steam centre first invented?,<No Answer>,united kingdom,in which country was the railway steam center invented?,no answer>,FP
what pope as a native of poland?,John Paul II,john paul ii,which pope is polish?,no answer>,FP
when were the wars of religion fought?,from 1562 to 1598,1562 to 1598,when did the religious war break out?,1562,TP
what did this agreement do?,"granted the Huguenots substantial religious, political and military autonomy","granted the huguenots substantial religious, political and military autonomy",what does this agreement do?,"granted the huguenots substantial religious, political and military autonomy.",TP
when did setanta sports say it would launch as a subscription service?,March,march,when will setanta sports announce its launch as a subscription service?,no answer>,TP
what were ntl's services rebranded as?,Virgin Media,virgin media,why is ntl's service renamed?,no answer>,FP
what do statements from the po and member in charge of the bill also indicate?,whether the bill is within the legislative competence of the Parliament,whether the bill is within the legislative competence of the parliament,what does the statement of the po and the head of the act also indicate?,no answer>,TP
where are bills typically gestated in stage 1?,in the relevant committee or committees,committee or committees,where are the first stage bills usually prepared?,relevant committee or committees,TP
where and when did the investigation of the plague pathogen begin?,Hong Kong in 1894,1894,when and where did the investigation of plague pathogens start?,hong kong in 1894,TP
what did paul-louis simond establish in 1898?,The mechanism by which Y. pestis was usually transmitted,the mechanism by which y. pestis was usually transmitted,what was paul louis simmond founded in 1898?,no answer>,TP
what was the bubonic plague mechanism reliant on?,two populations of rodents,two populations of rodents,what is the mechanism of bubonic plague?,no answer>,FP
who named the pathogen yersinia pestis?,<No Answer>,alexandre yersin,who named the pathogen jerson?,no answer>,FP
what is a main duty of the gphc?,regulates the practice of pharmacists and pharmacy technicians,regulates the practice of pharmacists and pharmacy technicians,what are the main responsibilities of gphc?,no answer>,TP
with what body must a pharmacy not be allowed to register?,<No Answer>,no answer>,which organization must the pharmacy register with?,general pharmaceutical council,FP
what type of hypersensitivity is associated with allergies?,Type I,type i,what types of allergies are associated with allergies?,no answer>,TP
what issues were not addressed in the treaty of aix-la-chapelle?,conflicting territorial claims between British and French,no answer>,what problems did the aix la chapel treaty not solve?,the issues of conflicting territorial claims between british and french colonies in north america,TP
what issues were addressed in the treaty of aix-la-chapelle?,<No Answer>,primarily focused on resolving issues in europe,what problems did the aix la chapel treaty solve?,resolving issues in europe,TP
what is the polish word for wreaths?,Wianki,wianki,what does a wreath mean in polish?,no answer>,FP
how man people gather along the banks of the vistula for the wianki festival?,thousands,thousands,how did people gather on the banks of the vistula river for the festival?,no answer>,TP
what type of flower is sought on wianki?,<No Answer>,fern,what kind of flowers are you looking for on viangi?,no answer>,TP
cristian bay's encyclopedia concludes that civil disobedience does not only include what behavior?,non-violence,no answer>,christian bay's encyclopedia concludes that civil disobedience includes not only what behavior?,carefully chosen and legitimate means,TP
what other terminology is considered much more destructive?,civil rebellion,rebellion,what other terms are considered more destructive?,no answer>,TP
people behaving with civil disobedience that is not-violent is said to make society have more of what?,tolerance,tolerance,what is it said that people's nonviolent civil disobedience will give society more?,no answer>,TP
debates about civil disobedience include or exclude what major practice?,violence,non-violent,what are the main practices included or not included in the debate on civil disobedience?,use of force and violence and refusal to submit to arrest,TP
"when violence is used, what is civil disobedience sometimes called?",civil rebellion,civil rebellion,"when violence is used, what is civil disobedience?",no answer>,FP
what is one result of civil rebellion?,destructive,refusal to submit to arrest,what is one result of civil strife?,no answer>,TP
why is it preferred that civil disobedience is non violent?,help preserve society's tolerance of civil disobedience,no answer>,why do people prefer nonviolent civil disobedience?,refraining from violence is also said to help preserve society's tolerance of civil disobed,TP
"in what year did rev. elie prioleau become the pastor of the first huguenot church in charleston, south carolina?",<No Answer>,1685,"in what year was rafe born. elie prioleau became the pastor of the first huguenot church in charleston, south carolina?",no answer>,TP
in what year did edmund bohun of the humphrey de bohun line of french royalty move to north america?,<No Answer>,1685,when did edmund bohong of the french royal family humphrey de bohong move to north america?,no answer>,TP
which city is planned to be a part of the california high speed rail?,Fresno,fresno,which part of california's high-speed rail plan?,the city of fresno,FP
who decides who gets to speak in the chamber debates?,The Presiding Officer,the presiding officer,who decides who can speak in the indoor debate?,no answer>,TP
what is also decided by the presiding officer?,amount of time for which they are allowed to speak,who speaks in chamber debates and the amount of time for which they are allowed to speak,what else did the presiding officer decide?,the amount of time for which they are allowed to speak,TP
how much oil did nixon give to states in 1974?,<No Answer>,no answer>,how much oil did nixon provide to the states in 1974?,the same amount,TP
what reconstructions supported the 1999 paper's information?,"Jones et al. 1998, Pollack, Huang & Shen 1998, Crowley & Lowery 2000 and Briffa 2000","jones et al. 1998, pollack, huang &",what kind of reconstruction supported the information of the newspaper in 1999?,no answer>,FP
where in central asia did the han chinese move?,"Besh Baliq, Almaliq, and Samarqand","besh baliq, almaliq, and samarqand",where did the han people migrate in central asia?,"almaliq, and samarqand",TP
where in central asia didn't the han chinese move?,<No Answer>,no answer>,"in central asia, where did the han people move?","besh baliq, almaliq, and samarqand",FP
